id,req_id,category,formalized_text,feature_group,original_text,assumptions,constraints,dependencies,detail_analysis,priority,validation_criteria
628,REQ-1-001,Technical,The system shall be developed as a web-based application with a responsive user interface that is fully functional and optimized for use on mobile device web browsers.,Transport Management System (TMS),"The system shall be a web-based, mobile-friendly Transport Management System.","['Users will access the system via modern web browsers (e.g., Chrome, Firefox, Safari) on desktop and mobile devices.']","[""A native mobile application for iOS or Android shall not be developed.""]",[],FALSE,high,"['Verify that all system screens render correctly and are usable on screen widths from 360px upwards.', 'Confirm that all interactive elements (buttons, forms, menus) are easily accessible and operable on a touch-based mobile device.', 'Ensure no horizontal scrolling is required for core workflows on standard mobile viewports.']"
629,REQ-1-002,Technical,"The Transport Management System (TMS) shall be implemented as a custom, installable module (addon) within the Odoo 18 framework, leveraging its core functionalities and architecture.",Transport Management System (TMS),The system shall be built as an Odoo 18 addon.,"['A licensed Odoo 18 environment will be available for development, testing, and deployment.']","[""All development must be compatible with Odoo 18 Enterprise Edition."",""The system must use Odoo's ORM, views, and business logic layers.""]",[],FALSE,high,"['Verify the TMS can be installed and uninstalled as a standard Odoo addon.', 'Confirm the TMS integrates with the Odoo application menu and security groups.', ""Ensure the TMS follows Odoo's module structure and development conventions.""]"
630,REQ-1-003,Functional,"The system shall provide distinct modules for the creation, reading, updating, and deactivation (CRUD) of core master data entities, including Vehicles, Drivers, Customers, Routes, and Materials.",Transport Management System (TMS),"The system shall manage core master data for Vehicles, Drivers, Customers, Routes, and Materials.",['The structure and fields for each master data entity are as defined in the Data Requirements section.'],[],[],FALSE,high,"['Verify that a user with appropriate permissions can create a new record for each master data type.', 'Verify that existing master data records can be viewed and edited.', ""Verify that master data records can be marked as 'Inactive' to prevent their use in new transactions while preserving historical data.""]"
631,REQ-1-004,Functional,"The system shall provide a comprehensive Trip Management module to manage the complete lifecycle of a transport job, from initial planning through to final financial settlement, following a defined status progression.",Transport Management System (TMS),"The system shall manage the end-to-end trip lifecycle, including planning, assignment, tracking, delivery, and financial settlement.",['The trip lifecycle statuses and transitions are defined in Business Rule BR-004.'],[],['REQ-1-003'],FALSE,high,"[""Demonstrate the creation of a trip in a 'Planned' state."", ""Demonstrate the assignment of a driver and vehicle, moving the trip to 'Assigned'."", ""Demonstrate the transition of a trip through 'In-Transit', 'Delivered', and 'Completed' statuses."", 'Demonstrate the generation of an invoice and recording of payment for a completed trip.']"
632,REQ-1-005,Functional,"The system shall provide integrated financial management capabilities, including a module for tracking trip-related expenses, a GST-compliant invoicing system, a ledger for tracking customer receivables, and automated trip profitability calculations.",Transport Management System (TMS),"The system shall include financial modules for expense tracking, invoicing, customer ledgers, and profitability analysis.",[],[],['REQ-1-004'],FALSE,high,"['Verify that expenses can be logged against a trip.', 'Verify that a GST-compliant invoice can be generated from a trip.', ""Verify that a customer's ledger accurately reflects all invoices and payments."", 'Verify that a profitability report can be generated for a trip, showing revenue minus approved expenses.']"
633,REQ-1-006,Functional,"The system's invoicing module must integrate with a GST Suvidha Provider (GSP) to generate an Invoice Reference Number (IRN) for each B2B invoice, ensuring compliance with Indian GST e-invoicing regulations.",Transport Management System (TMS),The invoicing module shall support Indian GST e-invoicing regulations.,['A subscription with a GSP that provides a stable and documented API will be procured and maintained.'],"[""The system must comply with the Goods and Services Tax Act, 2017, and all subsequent e-invoicing mandates.""]",['REQ-1-302'],FALSE,high,"['Generate an invoice for a GST-registered customer and verify that a valid IRN and QR code are successfully fetched from the GSP and stored with the invoice record.', 'Confirm that the generated invoice PDF contains the IRN and QR code as per regulatory requirements.']"
634,REQ-1-007,Functional,The system shall integrate with a third-party GPS provider's API to ingest real-time location data for vehicles and display their current positions on a map view within the user interface.,Transport Management System (TMS),The system shall provide real-time vehicle tracking via third-party GPS integration.,['A subscription with a GPS provider that offers an accessible API for location data will be procured and maintained.'],[],['REQ-1-301'],FALSE,high,"['Verify that the location of a vehicle with an active GPS device is updated on the system map within the specified latency of 60 seconds.', ""Confirm that the map view correctly displays markers for all vehicles associated with 'In-Transit' trips.""]"
635,REQ-1-008,Functional,"The system shall implement a Role-Based Access Control (RBAC) mechanism using Odoo's security framework to enforce distinct permission sets for Admin, Dispatch Manager, Finance Officer, and Driver user roles.",Transport Management System (TMS),"The system shall implement role-based access control for Admin, Dispatch Manager, Finance Officer, and Driver user types.",[],"[""The system shall leverage Odoo's existing models for users (`res.users`) and security groups (`res.groups`).""]",[],FALSE,high,"['Log in as each user role and verify that access to menus, data, and actions is restricted according to the definitions in section 2.2 and 3.1.', 'Confirm a Driver cannot view financial data beyond their own expenses and incentives.', 'Confirm a Finance Officer cannot create or assign trips.', 'Confirm a Dispatch Manager cannot manage user accounts.']"
636,REQ-1-009,Functional,"The system shall feature a dashboard for at-a-glance monitoring of key performance indicators (KPIs) and a reporting module to generate detailed operational and financial reports, which must be exportable to PDF and Excel formats.",Transport Management System (TMS),The system shall provide a comprehensive dashboard and reporting module for operational and financial insights.,[],[],[],FALSE,high,"['Verify the dashboard displays all widgets and KPIs as specified in section 8.2.', 'Generate each report listed in section 8.1 and verify the data accuracy.', 'Confirm that each generated report can be successfully exported to both PDF and Excel formats.']"
637,REQ-1-010,Functional,"The system shall generate and deliver alerts and notifications for predefined critical events, such as upcoming document expiries, low card balances, and critical trip events logged by drivers.",Transport Management System (TMS),The system shall provide system alerts and notifications for critical events.,[],[],[],FALSE,high,"['Configure a document with an expiry date in the near future and verify that an alert is generated at the 30, 15, and 7-day marks.', ""Manually update a card balance below its threshold and confirm a 'low balance' alert is triggered."", ""Log a critical event (e.g., 'Accident') from the driver portal and verify a high-priority alert appears on the manager's dashboard.""]"
