"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","Core System & Odoo Foundation","Admin creates a new user account with a primary role","Admin","As an Admin, I want to create a new user account by providing their name, email, and assigning a primary role, so that I can securely grant a new employee the appropriate level of system access to perform their job duties.","Enables secure and controlled onboarding of new employees by provisioning role-based access to the system, ensuring users have the correct permissions from their first login.","Must Have","1","[]","[{""scenario"":""Successful creation of a new user with a primary role"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter a unique, valid email address, the user's full name, and select a 'Primary Role' (e.g., 'Dispatch Manager') from the available options"",""then"":""The system creates the new user account, the user appears in the list of system users, and the user is automatically assigned to the security group corresponding to the 'Dispatch Manager' role.""},{""scenario"":""Attempt to create a user with a non-unique email address"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter an email address that already exists for another user in the system and attempt to save"",""then"":""The system prevents the creation of the user and displays a clear, user-friendly error message such as 'A user with this email address already exists.'""}]","[""Initialize Odoo TMS Addon Structure"",""Implement Role-Based Access Control (RBAC) Groups""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by a senior developer"",""Unit tests implemented for the role assignment logic in `create`/`write` methods, with >80% coverage for new code"",""Manual end-to-end testing completed successfully in a staging environment"",""Security requirement (Admin-only access) validated"",""Story deployed and verified in the staging environment""]"
"US-002","Core System & Odoo Foundation","Admin edits an existing user account's details and permissions","Admin","As an Admin, I want to edit an existing user's details, primary role, and specific permissions, so that I can maintain accurate user records and ensure their access rights align with their current job responsibilities, upholding system security and operational integrity.","Ensures system security by enforcing the principle of least privilege. Maintains data accuracy for user records. Supports operational changes (promotions, role changes) and facilitates compliance with audit requirements.","Must Have","2","[""US-001"",""US-004""]","[{""scenario"":""Admin successfully edits a user's personal information"",""given"":""I am logged in as an Admin and I am on the user management screen viewing a list of users"",""when"":""I select a user, change their name from 'John Doe' to 'Johnathan Doe' in the edit form, and click 'Save'"",""then"":""The system displays a success confirmation message, and the user list now shows the name 'Johnathan Doe' for that user.""},{""scenario"":""Admin successfully changes a user's primary role"",""given"":""I am logged in as an Admin and I am editing the record of a user whose primary role is 'Driver'"",""when"":""I change their primary role to 'Dispatch Manager' and click 'Save'"",""then"":""The system saves the change, and the user is now assigned the default permissions associated with the 'Dispatch Manager' role and the 'Driver' role permissions are removed.""},{""scenario"":""Admin attempts to remove their own administrative privileges"",""given"":""I am logged in as an Admin and I am editing my own user account"",""when"":""I attempt to remove the 'Admin' role or the 'Settings' access group from my account and click 'Save'"",""then"":""The system must prevent the change and display a clear warning message, such as 'Action blocked: You cannot remove administrative privileges from your own account.'""}]","[""Implement Role-Based Access Control (RBAC) Groups"",""Extend 'res.partner' for Customer Master""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by at least one other developer"",""Unit tests for self-lockout prevention logic are implemented and passing with >80% coverage"",""Integration testing confirms that saving the user correctly updates related models and creates an audit trail entry"",""E2E testing confirms an Admin can edit a user and the edited user's permissions are correctly enforced"",""Security requirement for audit logging is validated"",""Story deployed and verified in the staging environment""]"
"US-003","Core System & Odoo Foundation","Admin deactivates a user account","Admin","As an Admin, I want to deactivate a user's account, so that I can immediately revoke their system access when they are no longer with the company, ensuring data security and maintaining an accurate list of active users.","Enhances system security by preventing unauthorized access from former employees. Preserves data integrity by retaining historical user actions for audit purposes instead of deletion. Supports compliance with data protection policies.","Must Have","2","[""US-001"",""US-002""]","[{""scenario"":""Successful deactivation of a standard user account"",""given"":""I am logged in as an 'Admin' and I am on the user management screen"",""when"":""I select an active user account and trigger the 'Deactivate' action, then confirm the action in the confirmation dialog"",""then"":""The system sets the user's status to 'Inactive', a success message is displayed, and the user is immediately unable to log in with their credentials.""},{""scenario"":""Admin attempts to deactivate their own account"",""given"":""I am logged in as an 'Admin' and I am viewing my own user record in the user management screen"",""when"":""I attempt to find or use the 'Deactivate' action for my own account"",""then"":""The 'Deactivate' action must be disabled, hidden, or result in an error message stating that self-deactivation is not permitted.""},{""scenario"":""Deactivated user's active session is terminated"",""given"":""A user is currently logged into the system in an active session"",""when"":""An 'Admin' deactivates that user's account from a separate session"",""then"":""The user's active session is immediately invalidated, and upon their next action (e.g., page navigation, API call), they are forcefully logged out and redirected to the login page.""}]","[""Leverage Odoo's standard 'active' field on res.users"",""Implement session invalidation logic""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by team"",""Unit tests implemented for the deactivation logic and self-deactivation prevention, achieving >80% coverage"",""Integration testing completed to verify login failure and API access denial for deactivated users"",""Security requirement for immediate session termination is validated"",""Audit trail logging is confirmed to be working as expected"",""Story deployed and verified in the staging environment""]"
"US-004","Core System & Odoo Foundation","Admin assigns a primary role to a user","Admin","As an Admin, I want to assign a single, predefined primary role (like Dispatch Manager, Finance Officer, or Driver) to a user account, so that I can efficiently manage access control and ensure each user has the appropriate permissions to perform their job duties according to the principle of least privilege.","Enforces a secure and manageable Role-Based Access Control (RBAC) system. Simplifies user onboarding and role changes, reduces the risk of unauthorized access, and ensures compliance with the principle of least privilege.","Must Have","2","[""US-001"",""US-070""]","[{""scenario"":""Assign a primary role to a user"",""given"":""I am logged in as an Admin and am viewing the user management form for an existing user."",""when"":""I select a primary role, for example 'Dispatch Manager', from the 'Primary Role' dropdown and save the user's record."",""then"":""The system successfully saves the change, assigns the 'Dispatch Manager' role to the user, and their permissions are immediately updated to reflect that role's access rights.""},{""scenario"":""Role selection is mutually exclusive"",""given"":""I am logged in as an Admin and am on the user management form."",""when"":""I interact with the 'Primary Role' field."",""then"":""The UI element must only allow the selection of a single role, enforcing Business Rule BR-001.""},{""scenario"":""Admin attempts to change their own role to a non-Admin role"",""given"":""I am logged in as an Admin and am editing my own user profile."",""when"":""I attempt to change my 'Primary Role' from 'Admin' to 'Driver' and save the record."",""then"":""The system must prevent the change and display a clear validation error message, such as 'Administrators cannot revoke their own admin privileges.'""}]","[""Implement Role-Based Access Control (RBAC) Groups""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by at least one other developer"",""Unit tests for the role-switching logic are implemented with >80% coverage and are passing"",""Integration testing completed to confirm permissions are correctly applied"",""Security requirement to prevent admin self-demotion is validated"",""Audit trail functionality is verified"",""Story deployed and verified in the staging environment""]"
"US-005","Core System & Odoo Foundation","Admin grants additional specific permissions to a user group","Admin","As an Admin, I want to grant specific, granular permissions (like 'read-only access to invoices') to a user group, so that I can customize access rights beyond the standard roles to meet unique operational needs and enforce the principle of least privilege.","Provides the flexibility to tailor user access to specific business needs without creating numerous rigid roles. Enhances security by allowing adherence to the principle of least privilege, ensuring users only have access to the data and functions necessary for their job.","Must Have","1","[""US-001"",""US-004""]","[{""scenario"":""Granting a new 'Read' permission to a standard role"",""given"":""I am logged in as an Admin, and a 'Dispatch Manager' user exists who belongs to the 'Dispatch Manager' group."",""when"":""I navigate to 'Settings > Users & Companies > Groups', select the 'Dispatch Manager' group, and add a new 'Read' access right for the 'Invoice' (account.move) model."",""then"":""The 'Dispatch Manager' user, upon their next login or page refresh, can now access the Invoicing menu and view invoices in a read-only state.""},{""scenario"":""Revoking a previously granted permission"",""given"":""The 'Dispatch Manager' group has 'Read' access to the 'Invoice' model."",""when"":""I, as an Admin, remove the 'Read' access right for the 'Invoice' model from the 'Dispatch Manager' group."",""then"":""The 'Dispatch Manager' user immediately loses access to the Invoicing menu and can no longer view any invoices.""}]","[""Leverage Odoo's standard security group and access rights management UI""]","[""All acceptance criteria validated and passing"",""Integration testing completed successfully, confirming permissions are applied correctly"",""Security requirements validated, especially audit logging of permission changes"",""Documentation updated to explain how to customize roles"",""Story deployed and verified in staging environment""]"
"US-006","Master Data Management","Admin creates a new vehicle record","Admin","As an Admin, I want to create a new vehicle record by entering its key details like truck number, model, capacity, and ownership status, so that the vehicle is officially registered in the system and can be managed, assigned to trips, and tracked for operational and financial purposes.","Establishes the foundational master data for the vehicle fleet, enabling core functionalities like trip assignment, expense tracking, and operational reporting. This is critical for the system's primary purpose.","Must Have","3","[""US-058"",""US-070""]","[{""scenario"":""Successful creation of a new vehicle record with all mandatory fields"",""given"":""I am logged in as an Admin and am on the 'Vehicles' list view"",""when"":""I click the 'Create' button, fill in all mandatory fields (Truck Number, Model, Capacity, Owner Details, Fuel Type) with valid and unique data, and click 'Save'"",""then"":""A new vehicle record is successfully created in the system, I am redirected to the new vehicle's form view, and a confirmation message is displayed. The vehicle's status defaults to 'Active'.""},{""scenario"":""Attempt to create a vehicle with a duplicate Truck Number"",""given"":""A vehicle with the Truck Number 'KA01AB1234' already exists in the system"",""when"":""I attempt to create a new vehicle and enter 'KA01AB1234' in the Truck Number field and click 'Save'"",""then"":""The system prevents the record from being saved and displays a clear, user-friendly error message stating that the 'Truck Number must be unique'.""},{""scenario"":""Attempt to create a vehicle without filling in a mandatory field"",""given"":""I am on the 'Create Vehicle' form"",""when"":""I fill in the Truck Number but leave the mandatory 'Capacity' field blank and click 'Save'"",""then"":""The system prevents the record from being saved and visually highlights the 'Capacity' field, displaying a message that it is a required field.""}]","[""Create 'tms.vehicle' Model and Views""]","[""All acceptance criteria are validated and passing."",""Code has been peer-reviewed and merged into the main branch."",""Unit tests for the model's constraints and methods are written and achieve >80% coverage."",""Automated E2E tests for the happy path and key error conditions are implemented and passing."",""The feature is deployed and verified in the staging environment by a QA engineer."",""The UI is confirmed to be responsive and meets accessibility standards.""]"
"US-007","Master Data Management","Admin edits an existing vehicle record","Admin","As an Admin, I want to edit the details of an existing vehicle record, so that I can ensure all vehicle information is accurate and up-to-date, which is critical for operational planning, compliance, and financial reporting.","Ensures data integrity for the vehicle fleet, which is foundational for accurate trip planning, compliance tracking (e.g., service dates), and operational reporting. Prevents errors caused by outdated information.","Must Have","2","[""US-006"",""US-071"",""US-072"",""US-025""]","[{""scenario"":""Successfully edit and save a vehicle record"",""given"":""I am an 'Admin' user logged into the system and am viewing the form for an existing vehicle"",""when"":""I modify one or more fields (e.g., change 'Capacity' from 20 to 25) and click 'Save'"",""then"":""The system successfully saves the changes, I see a confirmation message, and the updated information is immediately visible on the vehicle's form and list view.""},{""scenario"":""Attempt to save with a duplicate Truck Number"",""given"":""I am an 'Admin' user editing vehicle 'V-001', and another vehicle 'V-002' already exists with the Truck Number 'KA01AB1234'"",""when"":""I change the 'Truck Number' of 'V-001' to 'KA01AB1234' and click 'Save'"",""then"":""The system must prevent the save operation and display a clear, user-friendly error message such as 'Truck Number must be unique. KA01AB1234 is already assigned to another vehicle.'""},{""scenario"":""Non-Admin user attempts to edit a vehicle"",""given"":""I am logged in as a user with the 'Driver' or 'Finance Officer' role"",""when"":""I navigate to the vehicle list view and open a vehicle's form"",""then"":""The 'Edit' button must not be visible, and all fields must be read-only.""}]","[""Create 'tms.vehicle' Model and Views""]","[""All acceptance criteria validated and passing"",""Code reviewed and approved by at least one other developer"",""Unit tests for model validation logic implemented and passing with >80% coverage"",""Integration testing completed successfully in a staging environment"",""Security requirements (role-based access) validated"",""Audit trail generation is confirmed to be working as expected"",""Story deployed and verified in the staging environment""]"
"US-008","Master Data Management","Admin sets a vehicle's status to 'Active' or 'Inactive'","Admin","As an Admin, I want to set the status of a vehicle to 'Active' or 'Inactive', so that I can control which vehicles are available for new trip assignments while preserving the records of retired or unavailable vehicles for historical reporting.","Improves data integrity by preventing the assignment of unavailable vehicles, enhances operational efficiency by simplifying selection lists for dispatchers, and ensures complete historical data is retained for reporting and analysis.","Must Have","1","[""US-006"",""US-027""]","[{""scenario"":""Admin deactivates an available vehicle"",""given"":""I am logged in as an Admin and am viewing the record of a vehicle with the status 'Active' that is not assigned to any trip in a non-terminal state (e.g., 'In-Transit', 'Assigned')"",""when"":""I change the vehicle's status to 'Inactive' and save the record"",""then"":""The system saves the vehicle's status as 'Inactive'.\\nAND The vehicle no longer appears in the list of selectable vehicles when creating a new trip.""},{""scenario"":""Attempting to deactivate a vehicle assigned to an active trip"",""given"":""I am logged in as an Admin and am viewing the record of a vehicle that is currently assigned to a trip with a status of 'Assigned' or 'In-Transit'"",""when"":""I attempt to change the vehicle's status to 'Inactive' and save"",""then"":""The system prevents the status change.\\nAND The system displays a user-friendly error message, such as 'This vehicle cannot be deactivated as it is currently assigned to an active trip (Trip ID: [Trip ID]).'""}]","[""Create 'tms.vehicle' Model and Views""]","[""All acceptance criteria validated and passing in a staging environment."",""Code is peer-reviewed and adheres to project coding standards (Flake8, Black)."",""Unit tests are written for the business logic (e.g., blocking deactivation) and achieve required coverage."",""Integration testing confirms that the vehicle selection list on the trip form is correctly filtered."",""Security permissions are verified to ensure only authorized users can change the status."",""The feature is deployed and verified in the staging environment.""]"
"US-009","Master Data Management","Admin attaches a document with an expiry date to a vehicle record","Admin","As an Admin, I want to upload vehicle-specific documents (like Insurance, RC, Fitness Certificate), categorize them, and set their expiry dates, so that I can maintain a centralized, digital record of all compliance documents and enable the system to generate timely renewal alerts, ensuring our fleet remains legally operational at all times.","Ensures legal and regulatory compliance by tracking critical vehicle documents, preventing fines and operational downtime from expired certifications. Centralizes documentation for easy access and auditing.","Must Have","5","[""US-006""]","[{""scenario"":""Successfully upload a new, valid document to a vehicle"",""given"":""I am an Admin logged into the system and am viewing the form for an existing vehicle"",""when"":""I navigate to the 'Documents' section and click 'Add Document', then I select a 'Document Type', choose a future 'Expiry Date', upload a valid file (PDF, JPG, PNG under 5MB), and click 'Save'"",""then"":""The document is successfully uploaded and associated with the vehicle record, and the new document appears in the list of documents for that vehicle, displaying the type, expiry date, and a link to view/download the file.""},{""scenario"":""Attempt to save a document without required fields"",""given"":""I am an Admin on the 'Add Document' form for a vehicle"",""when"":""I attempt to click 'Save' without selecting a 'Document Type' OR without selecting an 'Expiry Date' OR without attaching a file"",""then"":""The system prevents the record from being saved and displays a clear validation error message for each missing required field (e.g., 'Document Type is required.').""},{""scenario"":""Attempt to upload a file that exceeds the size limit"",""given"":""I am an Admin on the 'Add Document' form"",""when"":""I attempt to upload a file larger than 5MB"",""then"":""The system rejects the file and displays a user-friendly error message: 'File size exceeds the 5MB limit.'""}]","[""Implement Vehicle Document Management""]","[""All acceptance criteria validated and passing in a staging environment."",""Code has been peer-reviewed and merged into the main development branch."",""Unit tests for the new model and business logic have been implemented, passing with >= 80% coverage."",""Integration testing confirms that files are correctly stored in and retrieved from the S3 bucket."",""Security testing has confirmed that file access is restricted to authorized users."",""The story has been successfully deployed and verified in the staging environment.""]"
"US-010","Master Data Management","Admin logs a service history entry for a vehicle","Admin","As an Admin, I want to create, view, and manage detailed service history entries for each vehicle, including date, cost, service type, and odometer reading, so that I can maintain a complete and accurate maintenance log for the fleet, track vehicle-specific costs, and schedule future preventative maintenance effectively.","Provides a centralized and accurate record of all vehicle maintenance activities, which is essential for tracking total cost of ownership, ensuring vehicle safety and compliance, scheduling preventative maintenance to reduce downtime, and calculating accurate vehicle profitability.","Should Have","2","[""US-006""]","[{""scenario"":""Successfully create a new service history entry"",""given"":""I am an Admin logged into the system and I am viewing the form for a specific vehicle"",""when"":""I navigate to the 'Service History' tab and click 'Add a new service entry' AND I fill in all mandatory fields (Service Date, Service Type, Cost, Odometer Reading) with valid data and click 'Save'"",""then"":""The new service entry is created and appears in the 'Service History' list for that vehicle, sorted with the most recent entry at the top.""},{""scenario"":""Attempt to save a service entry with a future date"",""given"":""I am an Admin creating a new service entry"",""when"":""I enter a date in the future for the 'Service Date' field and attempt to save"",""then"":""The system must prevent the record from being saved and display a user-friendly validation error message, such as 'Service Date cannot be in the future'.""}]","[""Create 'tms.vehicle.service.log' model and views""]","[""All acceptance criteria validated and passing in a staging environment."",""Code has been peer-reviewed and merged into the main development branch."",""Unit tests covering model constraints and validation logic are implemented and achieve >80% coverage for the new code."",""Security rules have been tested to ensure only Admins can access the functionality."",""Story has been deployed and verified in the staging environment.""]"
