"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"US-001","Admin creates a new user account with a primary role","As an Admin, I want to create a new user account by providing their name, email, and assigning a primary role, so that I can securely grant a new employee the appropriate level of system access to perform their job duties.","Story","Backlog","High","odoo.dev1@company.com","product.owner@company.com","2024-11-15","8","1","admin,rbac,user-management","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","User & Access Management","EPIC-UAM","Transport Management System (TMS)","","US-SYS-001","Odoo ORM, Python, XML","Low","Low","Successful creation of a new user with a primary role; Attempt to create a user with a non-unique email address fails with error; Attempt to create a user with missing required information fails.","Code reviewed; Unit tests passing with >80% coverage; Manual E2E testing completed; Deployed to staging.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","None","None","Unit, E2E testing required.","Requires base security groups to be defined.","Enables secure onboarding of new employees by provisioning role-based access to the system."
"US-004","Admin assigns a primary role to a user","As an Admin, I want to assign a single, predefined primary role (like Dispatch Manager, Finance Officer, or Driver) to a user account, so that I can efficiently manage access control and ensure each user has the appropriate permissions.","Story","Backlog","High","odoo.dev1@company.com","product.owner@company.com","2024-11-15","16","2","admin,rbac,user-management","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","User & Access Management","EPIC-UAM","Transport Management System (TMS)","","US-001,US-070","Odoo ORM, Python, XML","Low","Low","Assign a primary role to a user; Role selection is mutually exclusive; Admin attempts to change their own role to a non-Admin role fails.","Code reviewed; Unit tests passing; E2E testing completed; Deployed to staging.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","None","None","Unit, Integration, E2E testing.","Depends on the RBAC framework from US-070.","Enforces a secure and manageable Role-Based Access Control (RBAC) system."
"US-070","System Enforces Role-Based Access Control (RBAC) for All Data Models","As a System Administrator, I want the system to strictly enforce data access and modification rights based on a user's assigned role, so that sensitive company data is protected and operational integrity is maintained.","Story","Backlog","High","odoo.senior@company.com","product.owner@company.com","2024-11-15","64","8","security,rbac,architecture","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","User & Access Management","EPIC-UAM","Transport Management System (TMS)","","US-004,US-026,US-037,US-053","Odoo Security, XML, Python","Medium","Medium","Finance Officer restricted from operational functions; Driver has restricted, personal access (Record-Level Security); Driver is restricted from viewing sensitive financial data (Field-Level Security).","Code for security groups, access rights, and record rules is peer-reviewed; Automated integration tests are written; Manual testing cycle completed by QA for each role.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","All developers to understand security model.","None","Integration, E2E, Security testing.","Foundational for all other features.","Ensures data security and confidentiality, enforces the principle of least privilege."
"US-006","Admin creates a new vehicle record","As an Admin, I want to create a new vehicle record by entering its key details like truck number, model, capacity, and ownership status, so that the vehicle is officially registered in the system.","Story","Backlog","High","odoo.dev2@company.com","product.owner@company.com","2024-11-15","24","3","master-data,vehicle","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","Master Data Management","EPIC-MDM","Transport Management System (TMS)","","US-058,US-070","Odoo ORM, Python, XML","Low","Low","Successful creation of a new vehicle record; Attempt to create a vehicle with a duplicate Truck Number fails; Attempt to create a vehicle with an invalid Truck Number format fails.","Code reviewed; Unit tests for constraints passing; E2E tests for happy path passing; Deployed to staging.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","None","None","Unit, Integration, E2E testing.","Blocker for Trip Management epic.","Establishes the foundational master data for the vehicle fleet."
"US-011","Admin creates a new driver record by extending an HR employee","As an Admin, I want to create a new driver record by adding driver-specific details (like license information) to an existing HR employee record, so that I can properly onboard drivers into the TMS.","Story","Backlog","High","odoo.dev2@company.com","product.owner@company.com","2024-11-15","16","2","master-data,driver,hr","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","Master Data Management","EPIC-MDM","Transport Management System (TMS)","","","Odoo ORM, Python, XML","Low","Low","Successfully designate an existing HR employee as a driver with all required information; Attempt to save a driver record without mandatory fields fails; Driver-specific fields are hidden for non-driver employees.","Code reviewed; Integration testing completed to ensure driver is available for trip assignment; Security rules restricting access to 'Admin' role verified.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","None","None","Integration, E2E testing.","Blocker for Trip Management epic.","Enables the creation of a compliant and operational driver pool."
"US-015","Admin creates a new customer record","As an Admin, I want to create a new customer record by entering their essential business details, so that the new customer is available for trip planning and invoicing.","Story","Backlog","High","odoo.dev1@company.com","product.owner@company.com","2024-11-15","16","2","master-data,customer","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","Master Data Management","EPIC-MDM","Transport Management System (TMS)","","","Odoo ORM, Python, Regex","Low","Low","Successful creation of a new customer with valid data; Attempt to save a new customer with an invalid GSTIN format fails; New customer defaults to 'Active' status.","Code reviewed; Unit tests for GSTIN validation logic passing; Security check confirms access is restricted to authorized roles.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","None","None","Unit, Integration, E2E testing.","Blocker for Trip Management and Invoicing epics.","Enables new business by onboarding clients into the system."
"US-019","Admin creates and manages pre-defined transportation routes","As an Admin, I want to create and manage a master list of pre-defined transportation routes, so that Dispatch Managers can quickly select a standard route during trip creation.","Story","Backlog","High","odoo.dev2@company.com","product.owner@company.com","2024-11-15","16","2","master-data,route","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","Master Data Management","EPIC-MDM","Transport Management System (TMS)","","US-001","Odoo ORM, Python, XML","Low","Low","Admin successfully creates a new pre-defined route; System prevents route creation with missing mandatory information; Non-Admin users cannot access route management.","Code for model, views, and security rules is reviewed; Unit tests covering model constraints are implemented; Security testing confirms non-Admin roles cannot access.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","None","None","Unit, Integration, Security testing.","Dependency for US-028 (Select pre-defined route).","Improves operational efficiency by reducing manual data entry for trip creation."
"US-020","Admin manages the list of material types and their handling instructions","As an Admin, I want to create, view, edit, and deactivate material types and their associated special handling instructions, so that I can ensure data consistency and provide critical handling information.","Story","Backlog","High","odoo.dev1@company.com","product.owner@company.com","2024-11-15","8","1","master-data,material","Sprint 1","Establish foundational User Management, RBAC, and core Master Data models.","Master Data Management","EPIC-MDM","Transport Management System (TMS)","","US-001","Odoo ORM, Python, XML","Low","Low","Admin creates a new material type successfully; System prevents creation of a material type with a duplicate name; Deactivated material types are not available for selection on new trips.","Code is peer-reviewed; Unit tests covering model constraints are implemented; Access control rules are implemented and verified.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-04","2024-11-15","100%","None","None","Unit, Integration, E2E testing.","Dependency for US-026 (Create new trip).","Ensures data integrity for accurate reporting and enhances operational safety."
"US-026","Dispatch Manager creates a new trip","As a Dispatch Manager, I want to create a new trip record by selecting a customer, defining the route, and specifying the material details and rate, so that I can formally initiate a transport job.","Story","Backlog","High","odoo.senior@company.com","product.owner@company.com","2024-11-29","40","5","trip-lifecycle,core-feature","Sprint 2","Build the core trip creation and assignment workflow.","Trip Lifecycle Management","EPIC-TLM","Transport Management System (TMS)","","US-015,US-019,US-020","Odoo ORM, Python, XML, JavaScript (OWL)","Medium","Low","Successful trip creation with all valid manual inputs; Attempt to save a trip with missing mandatory fields fails; Customer selection field only shows active customers; Dynamic revenue calculation based on rate type.","Code peer-reviewed; Unit tests for business logic passing; E2E tests for happy path and error conditions passing; UI is mobile-responsive.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-18","2024-11-29","100%","UX designer for form layout.","None","Unit, Integration, E2E testing.","Blocker for all subsequent trip management stories.","Initiates the primary revenue-generating workflow of the system."
"US-027","Dispatch Manager assigns an available vehicle and driver to a trip","As a Dispatch Manager, I want to select an available vehicle and driver from filtered lists and assign them to a 'Planned' trip so that I can operationalize the trip.","Story","Backlog","High","odoo.senior@company.com","product.owner@company.com","2024-11-29","40","5","trip-lifecycle,core-feature","Sprint 2","Build the core trip creation and assignment workflow.","Trip Lifecycle Management","EPIC-TLM","Transport Management System (TMS)","","US-026,US-006,US-012","Odoo ORM, Python, XML","Medium","Medium","Successful assignment of a valid vehicle and driver changes status to 'Assigned'; Vehicle selection list is correctly filtered for availability and capacity; Driver selection list is correctly filtered for availability and valid license.","Code reviewed; Unit tests for domain filtering and validation logic passing; Role-based security confirmed.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-11-18","2024-11-29","100%","None","None","Unit, Integration, E2E testing.","Blocker for driver-facing features.","Enables the transition of a trip from planning to execution."
"US-046","Driver logs into the mobile-friendly web portal","As a Driver, I want to securely log into a simple, mobile-friendly web portal using my credentials, so that I can access my assigned trips and update my status.","Story","Backlog","High","frontend.dev@company.com","product.owner@company.com","2024-12-13","40","5","driver-portal,ux,mobile","Sprint 3","Deliver the MVP for the Driver Portal.","Driver Portal & Mobile UX","EPIC-DP","Transport Management System (TMS)","","US-001,US-004,US-014,US-047","Odoo Web Library (OWL), JavaScript, CSS, HTML","Medium","Medium","Successful login with valid credentials; Login attempt with invalid password fails with generic error; Login page responsiveness on 360px width device.","E2E automated tests for the login flow are passing; Feature tested on representative iOS and Android devices; Security review confirms adherence to NFRs.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2024-12-02","2024-12-13","100%","Odoo backend dev for auth endpoint.","None","E2E, Security, Accessibility, Compatibility testing.","Blocker for all other driver-facing stories.","Enables drivers to access the system, the primary entry point for all field-based data capture."
"US-053","Driver submits a trip-related expense with receipt","As a Driver, I want to submit a trip-related expense through my mobile web portal by selecting the expense type, entering the amount, and uploading a photo of the receipt.","Story","Backlog","High","fullstack.dev@company.com","product.owner@company.com","2025-01-10","40","5","driver-portal,expense,mobile","Sprint 4","Implement the full expense lifecycle.","Financial Management & Compliance","EPIC-FMC","Transport Management System (TMS)","","US-046,US-047,US-032","Odoo ORM, OWL, Python, S3 Integration","Medium","Medium","Successful submission of a standard expense; Attempt to upload an invalid file type or size fails with error; Attempt to submit with missing required fields fails.","Unit tests for validation logic passing; Integration testing (form -> DB -> S3) completed; UI reviewed for mobile usability.","2024-10-28T10:00:00Z","2024-10-28T10:00:00Z","2025-01-06","2025-01-17","100%","DevOps for S3 bucket setup.","None","Unit, Integration, E2E testing.","Core feature for driver adoption.","Enables accurate and timely tracking of trip expenditures."
