"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-092","Driver Portal & Mobile UX","Driver: Access Self-Service Training Materials in Mobile Portal","Driver","As a Driver, I want to access a dedicated 'Help & Training' section within my mobile portal that contains short video tutorials and a downloadable quick-reference guide, so that I can learn how to use the system's features correctly at my own pace and quickly find answers to my questions while on the road.","Reduces the support load on dispatch and admin staff by empowering drivers with self-service training. Improves driver proficiency, reduces operational errors, and increases user adoption.","Medium","3","[""US-046"",""US-Admin-Manage-Training-Materials""]","[{""scenario"":""Navigation to Training Section"",""given"":""I am a user with the 'Driver' role and I am logged into the mobile-friendly web portal"",""when"":""I view the main navigation menu of the portal"",""then"":""I see a clearly labeled and easily tappable option for 'Help & Training'.""},{""scenario"":""Playing a Video Tutorial"",""given"":""I am on the 'Help & Training' page with a list of videos"",""when"":""I tap on a video tutorial's title or thumbnail"",""then"":""an embedded video player loads and plays the video directly within the page without navigating away.""},{""scenario"":""No Training Materials Available"",""given"":""I have navigated to the 'Help & Training' page and no training materials have been uploaded by an Admin"",""when"":""the page loads"",""then"":""I see a user-friendly message, such as 'No training materials are available at this time. Please check back later.'""}]","[""Create Odoo model 'tms.training.material' to store metadata."",""Develop Odoo controller to fetch training materials for the authenticated driver."",""Create OWL component for the 'Help & Training' page in the driver portal."",""Implement UI to list materials and embed an HTML5 video player."",""Ensure content is hosted on and streamed from Amazon S3.""]","[""All acceptance criteria validated and passing on target mobile browsers."",""Code has been peer-reviewed and merged into the main development branch."",""Unit tests for the new Odoo model and controller achieve >80% coverage."",""E2E tests simulating the driver's journey are implemented and passing."",""The UI has been reviewed and approved by the Product Owner for usability and adherence to design standards.""]"
"US-091","Transition & Go-Live","User receives role-based training and materials for the new TMS","All TMS user roles","As a new system user (Admin, Manager, Finance Officer, or Driver), I want to receive training materials and sessions tailored to my specific job responsibilities, so that I can confidently and effectively use the Transport Management System from the first day of go-live.","Ensures smooth user adoption, reduces post-launch errors and support requests, minimizes business disruption during cutover, and maximizes the return on investment in the new system.","High","13","[""US-046"",""ALL_CORE_FUNCTIONALITY""]","[{""scenario"":""Instructor-Led Training for Office Staff"",""given"":""The TMS is feature-complete and stable in the staging environment"",""when"":""An Admin, Dispatch Manager, or Finance Officer attends their scheduled, role-specific training session"",""then"":""They can successfully complete a set of predefined key tasks for their role in the staging environment.""},{""scenario"":""Driver Accesses Video Tutorials"",""given"":""A Driver is logged into the mobile-friendly web portal"",""when"":""They navigate to the 'Help & Training' section"",""then"":""They see a list of short video tutorials covering their key tasks and can play them directly within the browser.""},{""scenario"":""User Misses Scheduled Training"",""given"":""A user is unable to attend their scheduled instructor-led training session"",""when"":""They notify the project team"",""then"":""They are provided with alternative training options, such as a recorded session or a scheduled make-up class.""}]","[""Create and approve User Manual for office staff."",""Create, produce, and host video tutorials for drivers."",""Design and print Quick Reference Guide (QRG) for drivers."",""Develop OWL component in Driver Portal to host training videos (relates to US-092)."",""Schedule and conduct all instructor-led training sessions."",""Track training attendance and completion.""]","[""All acceptance criteria validated and passing."",""All training materials (User Manual, Videos, QRG) created, reviewed, and approved."",""Software component for Driver Portal training page is developed, code-reviewed, tested, and deployed to staging."",""All instructor-led training sessions have been completed and attendance recorded."",""A process for training new hires post-launch has been documented and handed over to the business.""]"
"US-090","Transition & Go-Live","Admin validates migrated data in a staging environment","Admin","As an Admin responsible for the system's go-live, I want to execute a dry-run of the data migration in a staging environment and receive a comprehensive validation report, so that I can verify data integrity, identify and fix any issues before the production cutover, and ensure a smooth and successful transition to the new TMS.","Mitigates the significant business risk of data loss, corruption, or a failed go-live. Ensures business continuity by verifying that all critical operational and financial data is accurately transferred to the new system.","High","13","[""US-089"",""US-006"",""US-011"",""US-015"",""US-039""]","[{""scenario"":""Validation report shows matching record counts for master data"",""given"":""The migration and validation process has been successfully executed"",""when"":""The Admin reviews the generated validation report"",""then"":""The report shows identical counts for 'active Customers', 'all Vehicles', and 'active Drivers' between the source and target.""},{""scenario"":""Validation report shows successful financial reconciliation"",""given"":""The migration and validation process has been successfully executed"",""when"":""The Admin reviews the generated validation report"",""then"":""The sum of all open invoice balances from the source data matches the sum of all outstanding balances in the staging TMS.""},{""scenario"":""Validation report identifies data transformation or mapping errors"",""given"":""A legacy data dump contains records that violate the new system's validation rules"",""when"":""The migration and validation process is executed"",""then"":""The validation report lists the specific records that failed to migrate, along with a reason for the failure.""}]","[""Develop Python scripts to perform post-migration validation."",""Script to compare record counts between source (CSVs) and target (Odoo DB)."",""Script to perform financial reconciliation of open invoices."",""Script to check for data integrity issues post-migration."",""Document the process for executing the dry-run and validation."",""Document the process to reset the staging environment for repeated dry-runs.""]","[""All acceptance criteria validated and passing."",""Migration validation scripts are written, code-reviewed, and merged."",""Unit tests for the validation logic are implemented and passing."",""A successful dry-run has been demonstrated to the project stakeholders using the full legacy dataset."",""The Admin user has formally signed off on the process and its results.""]"
"US-089","Transition & Go-Live","Admin executes a one-time data migration from the legacy system","System Administrator","As an Admin, I want to execute a well-defined process with supporting scripts to migrate key master data and open financial transactions from our legacy system into the new TMS, so that the system is populated with accurate, essential business data at go-live, ensuring operational continuity and a seamless transition for all users.","Enables business continuity by populating the new TMS with critical operational data (customers, vehicles, drivers, open invoices) before go-live, avoiding data loss and manual re-entry.","High","20","[""US-006"",""US-011"",""US-015"",""US-037""]","[{""scenario"":""Successful migration of active customer master data"",""given"":""A clean CSV file containing active customers from the legacy system is available"",""when"":""The Admin executes the customer migration process"",""then"":""All customer records from the file are created in Odoo, all fields are mapped correctly, and a validation report confirms matching record counts.""},{""scenario"":""Migration script handles records with missing mandatory data"",""given"":""A source CSV file where records are missing a mandatory field"",""when"":""The Admin executes the relevant migration script"",""then"":""The script skips the invalid records, logs a detailed error for each, and successfully processes all other valid records.""},{""scenario"":""Migration process is idempotent and prevents duplicate records"",""given"":""The customer migration process has already been run once successfully"",""when"":""The Admin re-runs the exact same customer migration process with the same source file"",""then"":""No duplicate customer records are created, and the log indicates records were skipped because they already exist.""}]","[""Analyze legacy data schema and create a detailed data mapping document."",""Develop Python scripts using Pandas for data cleansing and transformation."",""Develop loader scripts to import transformed data into Odoo using its ORM or data import tools."",""Create an orchestration script to run the migration in the correct sequence (Customers -> Vehicles/Drivers -> Invoices)."",""Implement robust logging for all successful, skipped, and failed records."",""Create a detailed runbook for executing the migration in production.""]","[""All acceptance criteria validated and passing in the staging environment."",""Migration scripts and supporting documentation are code-reviewed and merged."",""Unit tests for key data transformation logic are implemented."",""A full end-to-end migration dry-run has been successfully completed in the staging environment."",""The performance of the migration process is confirmed to be within the acceptable cutover window.""]"
"US-088","Financial Management & Compliance","System flags invoices and alerts on GSP API failure","Finance Officer","As a Finance Officer, I want the system to automatically flag an invoice and send me a high-priority alert when the e-invoice generation fails, so that I can immediately take corrective action, ensure GST compliance, and prevent delays in the billing cycle.","Ensures GST compliance by preventing silent failures of e-invoice generation. Improves operational efficiency by immediately notifying the responsible user to investigate and resolve billing issues.","High","5","[""US-037"",""US-087"",""US-060""]","[{""scenario"":""GSP API returns an error response during e-invoice generation"",""given"":""A Finance Officer has initiated the e-invoice generation process for a valid invoice"",""when"":""The system calls the GSP API and receives a definitive error response (e.g., HTTP 4xx or 5xx)"",""then"":""The invoice's status is immediately changed to 'E-Invoice Generation Failed' and a high-priority notification is sent to the 'Finance Officer' role.""},{""scenario"":""Visual indication of failed invoices in the list view"",""given"":""At least one invoice exists with the status 'E-Invoice Generation Failed'"",""when"":""A user with appropriate permissions views the main invoice list"",""then"":""The entire row for each failed invoice is visually highlighted (e.g., using a light red background).""},{""scenario"":""Failure after automated retries are exhausted"",""given"":""The system is configured for asynchronous e-invoice generation with a retry mechanism"",""when"":""An initial API call fails, and all subsequent automated retry attempts also fail"",""then"":""After the final retry fails, the invoice status is set to 'E-Invoice Generation Failed' and a single, final high-priority notification is sent.""}]","[""Add a new state 'e_invoice_failed' to the `account.move` model."",""Add a field to `account.move` to store the last GSP error message."",""Extend the GSP integration logic to catch exceptions and API errors."",""On failure, update the invoice state and trigger an Odoo notification to the 'Finance Officer' group."",""Modify the `account.move` tree view to apply conditional formatting for the 'e_invoice_failed' state.""]","[""All acceptance criteria validated and passing."",""Code reviewed and approved by team."",""Unit tests implemented for the error handling logic."",""Integration testing against a GSP sandbox environment completed successfully."",""User interface changes reviewed and approved by the Product Owner.""]"
"US-087","Financial Management & Compliance","Finance Officer generates a compliant e-invoice via GSP integration","Finance Officer","As a Finance Officer, I want to generate a GST-compliant e-invoice by sending trip data to a GST Suvidha Provider (GSP) through an automated integration, so that I can fulfill legal requirements efficiently, reduce manual errors, and ensure timely and accurate customer billing.","Ensures regulatory compliance with Indian GST laws, automates a critical financial process, reduces manual data entry errors, and accelerates the payment cycle.","High","13","[""US-037"",""US-015"",""US-039""]","[{""scenario"":""Successful e-invoice generation on the first attempt (Happy Path)"",""given"":""A Finance Officer is viewing a validated Odoo invoice in 'Posted' state"",""when"":""The officer clicks the 'Generate E-Invoice' button"",""then"":""The system receives a valid IRN and QR code from the GSP, stores these details against the invoice, and updates the status to 'Generated'.""},{""scenario"":""GSP API is temporarily unavailable or times out"",""given"":""A Finance Officer attempts to generate an e-invoice"",""when"":""The synchronous API call to the GSP fails due to a timeout or a 5xx server error"",""then"":""The task is added to an asynchronous queue for automatic retries, the status is set to 'Pending Retry', and the user is immediately notified.""},{""scenario"":""PDF invoice report is updated with e-invoice details"",""given"":""An e-invoice has been successfully generated for an invoice"",""when"":""A user prints or downloads the PDF version of the invoice"",""then"":""The PDF document prominently displays the signed QR code and the Invoice Reference Number (IRN).""}]","[""Develop a GSP API client service in Python to handle authentication, payload creation, and response parsing."",""Securely store GSP credentials in AWS Secrets Manager and implement logic to fetch them at runtime."",""Add fields to `account.move` to store IRN, QR code, and e-invoice status."",""Implement the sync/async fallback logic using RabbitMQ for retries as per REQ-1-302."",""Modify the Odoo QWeb report template for invoices to conditionally display the IRN and QR code."",""Add a 'Generate E-Invoice' button to the invoice form view.""]","[""All acceptance criteria validated and passing in the GSP sandbox environment."",""Code reviewed and approved."",""Unit tests for data mapping, API client, and error handling achieve >80% code coverage."",""Security review confirms credentials are managed securely via AWS Secrets Manager."",""The updated PDF invoice report is reviewed and approved.""]"
"US-086","Financial Management & Compliance","Finance Officer creates a pre-filled draft invoice from a completed trip","Finance Officer","As a Finance Officer, I want to automatically generate a pre-filled invoice from a completed trip record, so that I can reduce manual data entry, minimize errors, and speed up the customer billing process.","Improves billing accuracy and efficiency, reduces the time from service completion to invoicing, and enhances cash flow by minimizing data entry errors and delays.","High","2","[""US-015"",""US-026"",""US-037""]","[{""scenario"":""Generate a draft invoice from a completed trip"",""given"":""I am a Finance Officer viewing a Trip record in the 'Completed' state"",""when"":""I click the 'Create Invoice' button on the trip form"",""then"":""The system creates a new customer invoice in 'Draft' status and redirects me to the new invoice form.""},{""scenario"":""Correct data mapping from Trip to Invoice"",""given"":""A new draft invoice has been generated from a trip record"",""when"":""I view the newly created draft invoice"",""then"":""The invoice's 'Customer' matches the trip's 'Customer', and the invoice line's 'Unit Price' matches the trip's 'Rate'.""},{""scenario"":""Prevent duplicate invoice creation"",""given"":""I am viewing a 'Completed' trip for which an invoice has already been generated"",""when"":""I view the trip form"",""then"":""The 'Create Invoice' button is hidden, and a 'View Invoice' button/link is displayed instead.""}]","[""Add a 'Create Invoice' button to the `tms.trip` form view, visible only for 'Completed' trips."",""Create a Python method on the `tms.trip` model triggered by the button."",""Implement logic to create a new `account.move` record, mapping fields from the trip (customer, rate, etc.)."",""Add a `Many2one` field on `tms.trip` to link to the created invoice, preventing duplicates."",""Return an Odoo action to redirect the user to the new draft invoice.""]","[""All acceptance criteria validated and passing."",""Code reviewed and approved."",""Unit tests for the invoice creation method are written and achieve >80% coverage."",""Functionality is verified to be restricted to the correct user roles."",""Story is deployed and verified in the staging environment.""]"
"US-085","Financial Management & Compliance","System calculates trip profitability using only approved expenses","Dispatch Manager, Finance Officer, Admin","As a Dispatch Manager or Finance Officer, I want the trip profitability to be calculated using only expenses that have been explicitly approved, so that I can have an accurate and reliable view of a trip's financial performance for making informed business decisions.","Ensures financial accuracy in reporting by preventing unverified or rejected costs from impacting profitability metrics. This builds trust in the system's data and supports accurate analysis.","High","2","[""US-026"",""US-053"",""US-033""]","[{""scenario"":""Profitability calculation with mixed expense statuses"",""given"":""A trip exists with a revenue of 25,000, one 'Approved' expense of 8,000, one 'Pending' expense of 500, and one 'Rejected' expense of 200"",""when"":""a user views the trip's details"",""then"":""the system must display 'Total Approved Expenses' as 8,000 and 'Trip Profitability' as 17,000.""},{""scenario"":""Profitability calculation when an expense is approved"",""given"":""A trip shows a current profitability of 17,000 and has a 'Pending' expense of 500"",""when"":""a Dispatch Manager changes the status of the 'Pending' expense to 'Approved'"",""then"":""the trip's 'Trip Profitability' must be automatically updated to 16,500.""}]","[""Add a computed field `total_approved_expenses` to the `tms.trip` model."",""Implement the compute method to sum the `amount` of related `tms.expense` records where `state = 'approved'`."",""Add another computed field `profitability` that calculates `revenue - total_approved_expenses`."",""Ensure the `@api.depends` decorator correctly tracks changes to related expenses' state and amount."",""Add these new fields to the `tms.trip` form view.""]","[""All acceptance criteria validated and passing."",""Code is peer-reviewed and merged."",""Unit tests for the computed field logic are implemented and passing."",""Integration tests confirm that changing an expense status correctly triggers recalculation."",""Role-based access to profitability data is confirmed to be working as specified.""]"
"US-084","Financial Management & Compliance","System validates odometer reading for diesel expenses to ensure data integrity","Driver/Dispatch Manager","As a Dispatch Manager, I want the system to enforce that a new odometer reading for a diesel expense is always greater than the previous one for that vehicle, so that I can ensure data integrity for accurate fuel efficiency and profitability reporting.","Prevents data entry errors, ensuring the integrity of vehicle mileage data. This is critical for accurate fuel efficiency calculations (km/liter), maintenance scheduling, and vehicle profitability analysis.","High","2","[""US-053"",""US-006"",""US-027""]","[{""scenario"":""Submitting a valid (higher) odometer reading"",""given"":""A Driver is submitting a 'Diesel' expense for a vehicle where the last recorded odometer was 50,000 km"",""when"":""The Driver enters a new reading of 50,250 km and submits the form"",""then"":""The system validates the reading successfully and the expense is created.""},{""scenario"":""Submitting an invalid (lower) odometer reading"",""given"":""A Driver is submitting a 'Diesel' expense for a vehicle where the last recorded odometer was 50,000 km"",""when"":""The Driver enters a new reading of 49,950 km and attempts to submit"",""then"":""The system prevents the submission and displays a clear error: 'Odometer reading must be greater than the last recorded value of 50,000 km.'""},{""scenario"":""First-ever diesel expense for a vehicle"",""given"":""A Driver is submitting the first-ever 'Diesel' expense for a new vehicle"",""when"":""There is no previously recorded odometer reading for this vehicle, and the Driver enters a reading of 150 km"",""then"":""The system accepts the submission without performing the 'greater than' validation.""}]","[""Implement a server-side constraint (`@api.constrains`) on the `tms.expense` model."",""The constraint will trigger for 'Diesel' type expenses and query for the most recent previous odometer reading for the same vehicle."",""The logic must handle the case where no previous reading exists."",""If the new reading is not greater than the previous one, raise a `ValidationError` with a dynamic message."",""Add a unit test for this validation logic.""]","[""All acceptance criteria validated and passing."",""Backend validation logic is covered by unit tests."",""The full submission flow is covered by an integration test."",""Code has been peer-reviewed and merged."",""The database query for the last odometer reading is confirmed to be indexed and performant.""]"
"US-083","Financial Management & Compliance","Driver receives clear feedback when uploading an invalid expense receipt file","Driver","As a Driver, I want to receive immediate and clear feedback if my uploaded expense receipt is an invalid format or too large, so that I can quickly correct the issue and successfully submit my expense claim.","Ensures data quality, manages system storage costs, improves system security, and provides a better user experience by giving instant, actionable feedback.","High","2","[""US-053""]","[{""scenario"":""Uploading a file with an invalid type"",""given"":""A Driver is on the 'Submit Expense' form"",""when"":""the user attempts to upload a file with an unallowed extension (e.g., .docx, .zip)"",""then"":""the system immediately rejects the file and displays a clear error: 'Invalid file type. Please upload a JPG, PNG, or PDF.'""},{""scenario"":""Uploading a file that is too large"",""given"":""A Driver is on the 'Submit Expense' form"",""when"":""the user attempts to upload a valid file type (e.g., a JPG) that is 6MB in size"",""then"":""the system immediately rejects the file and displays a clear error: 'File is too large. Maximum size is 5MB.'""},{""scenario"":""Server-side validation rejects invalid file types"",""given"":""A user attempts to bypass client-side validation and submits a POST request with a disallowed file type"",""when"":""the server receives the upload request"",""then"":""the server-side logic validates the file's MIME type, rejects the file, and returns an appropriate error response.""}]","[""Implement client-side validation in the OWL component for the expense form to check file extension and size."",""Display user-friendly error messages in the UI upon validation failure."",""Implement mandatory server-side validation in the Odoo controller to check the MIME type and size of the uploaded file."",""Return a 400 Bad Request response with a clear error message from the server on validation failure.""]","[""All acceptance criteria validated and passing."",""Code reviewed and approved."",""Unit tests for backend validation logic implemented."",""Automated E2E tests for UI validation scenarios implemented and passing."",""Mandatory server-side security validation is confirmed to be in place.""]"
