"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","User and Access Management","Admin creates a new user account with a primary role","Admin","As an Admin, I want to create a new user account by providing their name, email, and assigning a primary role, so that I can securely grant a new employee the appropriate level of system access to perform their job duties.","Enables secure and controlled onboarding of new employees by provisioning role-based access to the system, ensuring users have the correct permissions from their first login.","Must Have","2","[]","[{""scenario"":""Successful creation of a new user with a primary role"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter a unique, valid email address, the user's full name, and select a 'Primary Role' (e.g., 'Dispatch Manager') from the available options"",""then"":""The system creates the new user account, the user appears in the list of system users, and the user is automatically assigned to the security group corresponding to the 'Dispatch Manager' role.""},{""scenario"":""Attempt to create a user with a non-unique email address"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter an email address that already exists for another user in the system and attempt to save"",""then"":""The system prevents the creation of the user and displays a clear, user-friendly error message such as 'A user with this email address already exists.'""},{""scenario"":""Attempt to create a user with missing required information"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I attempt to save the new user without providing a name, email, or selecting a primary role"",""then"":""The system prevents the record from being saved and visually indicates which mandatory fields are missing.""}]","[""Extend the 'res.users' form view to include a 'Primary Role' selection field."",""Override the 'create' and 'write' methods of 'res.users' to manage security group membership based on the selected role."",""Ensure Odoo's unique constraint on the email/login field is active.""]","[""All acceptance criteria are met and validated in a staging environment."",""Code is peer-reviewed and merged to the main branch."",""Unit tests for role assignment logic are created and passing with >80% coverage."",""Security is verified to ensure only Admins can create users."",""Feature is documented for the administrator's guide.""]"
"US-002","User and Access Management","Admin edits an existing user account's details and permissions","Admin","As an Admin, I want to edit an existing user's details, primary role, and specific permissions, so that I can maintain accurate user records and ensure their access rights align with their current job responsibilities, upholding system security and operational integrity.","Ensures system security by enforcing the principle of least privilege. Maintains data accuracy for user records. Supports operational changes (promotions, role changes) and facilitates compliance with audit requirements.","Must Have","2","[""US-001"",""US-004""]","[{""scenario"":""Admin successfully changes a user's primary role"",""given"":""I am logged in as an Admin and I am editing the record of a user whose primary role is 'Driver'"",""when"":""I change their primary role to 'Dispatch Manager' and click 'Save'"",""then"":""The system saves the change, the user is now assigned the default permissions associated with the 'Dispatch Manager' role, and the 'Driver' role permissions are removed.""},{""scenario"":""Admin attempts to remove their own administrative privileges"",""given"":""I am logged in as an Admin and I am editing my own user account"",""when"":""I attempt to remove the 'Admin' role or the 'Settings' access group from my account and click 'Save'"",""then"":""The system must prevent the change and display a clear warning message, such as 'Action blocked: You cannot remove administrative privileges from your own account.'""}]","[""Implement logic in the 'write' method of 'res.users' to handle role changes."",""Add a server-side check to prevent an admin from removing their own admin rights."",""Ensure changes are logged in the audit trail (chatter).""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Unit test for self-lockout prevention logic is implemented and passing."",""Audit trail generation is confirmed to be working."",""E2E test confirms an Admin can edit a user and the user's permissions are correctly enforced.""]"
"US-003","User and Access Management","Admin deactivates a user account","Admin","As an Admin, I want to deactivate a user's account, so that I can immediately revoke their system access when they are no longer with the company, ensuring data security and maintaining an accurate list of active users.","Enhances system security by preventing unauthorized access from former employees. Preserves data integrity by retaining historical user actions for audit purposes instead of deletion.","Must Have","2","[""US-001"",""US-002""]","[{""scenario"":""Successful deactivation of a standard user account"",""given"":""I am logged in as an 'Admin' and I am on the user management screen"",""when"":""I select an active user account and trigger the 'Deactivate' action (Archive in Odoo), then confirm the action"",""then"":""The system sets the user's status to 'Inactive', and the user is immediately unable to log in with their credentials.""},{""scenario"":""Admin attempts to deactivate their own account"",""given"":""I am logged in as an 'Admin' and I am viewing my own user record"",""when"":""I attempt to use the 'Deactivate' action for my own account"",""then"":""The 'Deactivate' action must be disabled, hidden, or result in an error message stating that self-deactivation is not permitted.""},{""scenario"":""Deactivated user's active session is terminated"",""given"":""A user is currently logged into the system in an active session"",""when"":""An 'Admin' deactivates that user's account from a separate session"",""then"":""The user's active session is immediately invalidated, and upon their next action, they are forcefully logged out.""}]","[""Leverage Odoo's standard 'active' field and 'Archive' action on the 'res.users' model."",""Implement a check to prevent an admin from archiving their own user record."",""Investigate and implement a mechanism to immediately invalidate sessions for a deactivated user.""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Unit test for self-deactivation prevention is implemented and passing."",""Security requirement for immediate session termination is validated."",""Audit trail logging for the status change is confirmed.""]"
"US-004","User and Access Management","Admin assigns a primary role to a user","Admin","As an Admin, I want to assign a single, predefined primary role (like Dispatch Manager, Finance Officer, or Driver) to a user account, so that I can efficiently manage access control and ensure each user has the appropriate permissions to perform their job duties according to the principle of least privilege.","Enforces a secure and manageable Role-Based Access Control (RBAC) system. Simplifies user onboarding and role changes, reduces the risk of unauthorized access, and ensures compliance with the principle of least privilege.","Must Have","2","[""US-001"",""US-070""]","[{""scenario"":""Assign a primary role to a user"",""given"":""I am logged in as an Admin and am viewing the user management form for an existing user."",""when"":""I select a primary role, for example 'Dispatch Manager', from the 'Primary Role' dropdown and save the user's record."",""then"":""The system successfully saves the change, assigns the user to the 'Dispatch Manager' security group, and their permissions are immediately updated.""},{""scenario"":""Role selection is mutually exclusive"",""given"":""I am logged in as an Admin and am on the user management form."",""when"":""I interact with the 'Primary Role' field."",""then"":""The UI element must only allow the selection of a single role, enforcing Business Rule BR-001.""}]","[""Define the four primary security groups in XML: Admin, Dispatch Manager, Finance Officer, Driver."",""Add a 'Selection' field for 'Primary Role' to the 'res.users' model."",""Override the 'write' method on 'res.users' to add the user to the selected group and remove them from other primary role groups.""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Unit tests for the role-switching logic are implemented and passing."",""Audit trail functionality for role changes is verified."",""E2E testing confirms permissions are correctly applied after a role change.""]"
"US-005","User and Access Management","Admin grants additional specific permissions to a user group","Admin","As an Admin, I want to grant specific, granular permissions (like 'read-only access to invoices') to a user group, so that I can customize access rights beyond the standard roles to meet unique operational needs and enforce the principle of least privilege.","Provides the flexibility to tailor user access to specific business needs without creating numerous rigid roles. Enhances security by allowing adherence to the principle of least privilege.","Should Have","1","[""US-001"",""US-004""]","[{""scenario"":""Granting a new 'Read' permission to a standard role"",""given"":""I am logged in as an Admin, and a 'Dispatch Manager' user exists."",""when"":""I navigate to 'Settings > Users & Companies > Groups', select the 'Dispatch Manager' group, and add a new 'Read' access right for the 'Invoice' model."",""then"":""The 'Dispatch Manager' user, upon their next login or page refresh, can now access the Invoicing menu and view invoices in a read-only state.""},{""scenario"":""Revoking a previously granted permission"",""given"":""The 'Dispatch Manager' group has 'Read' access to the 'Invoice' model."",""when"":""I, as an Admin, remove the 'Read' access right for the 'Invoice' model from the 'Dispatch Manager' group."",""then"":""The 'Dispatch Manager' user immediately loses access to the Invoicing menu and can no longer view any invoices.""}]","[""Ensure all custom TMS models are correctly registered and appear in the Access Rights management UI."",""Verify that Odoo's standard group management UI is accessible and functional for an Admin user."",""Integrate audit logging for changes to 'res.groups' or 'ir.model.access'.""]","[""All acceptance criteria are met and validated."",""Manual E2E testing confirms permissions are applied and revoked correctly."",""Security testing confirms audit logging of permission changes."",""User documentation on customizing roles is updated.""]"
"US-006","Core Module Setup & Master Data","Admin creates a new vehicle record","Admin","As an Admin, I want to create a new vehicle record by entering its key details like truck number, model, capacity, and ownership status, so that the vehicle is officially registered in the system and can be managed, assigned to trips, and tracked for operational and financial purposes.","Establishes the foundational master data for the vehicle fleet, enabling core functionalities like trip assignment, expense tracking, and operational reporting.","Must Have","3","[""US-001""]","[{""scenario"":""Successful creation of a new vehicle record"",""given"":""I am logged in as an Admin and am on the 'Vehicles' list view"",""when"":""I click the 'Create' button, fill in all mandatory fields (Truck Number, Model, Capacity) with valid and unique data, and click 'Save'"",""then"":""A new vehicle record is successfully created in the system, and its status defaults to 'Active'.""},{""scenario"":""Attempt to create a vehicle with a duplicate Truck Number"",""given"":""A vehicle with the Truck Number 'KA01AB1234' already exists"",""when"":""I attempt to create a new vehicle and enter 'KA01AB1234' in the Truck Number field and click 'Save'"",""then"":""The system prevents the record from being saved and displays a clear error message stating 'Truck Number must be unique'.""},{""scenario"":""Attempt to create a vehicle with an invalid Truck Number format"",""given"":""I am on the 'Create Vehicle' form"",""when"":""I enter 'INVALID-FORMAT' into the Truck Number field and attempt to save"",""then"":""The system prevents the save action and displays a validation error indicating the format is incorrect.""}]","[""Define the `tms.vehicle` Odoo model with all fields from REQ-1-200."",""Implement `_sql_constraints` for the `truck_number` uniqueness (REQ-1-900)."",""Create the form and list views (XML) for the `tms.vehicle` model."",""Create the menu item and action window to make the feature accessible."",""Implement a regex-based validation for the Indian vehicle registration number format.""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Unit tests for model constraints (uniqueness, format) are implemented and passing."",""E2E test for vehicle creation is automated."",""UI is confirmed to be responsive and meets accessibility standards.""]"
"US-007","Core Module Setup & Master Data","Admin edits an existing vehicle record","Admin","As an Admin, I want to edit the details of an existing vehicle record, so that I can ensure all vehicle information is accurate and up-to-date, which is critical for operational planning, compliance, and financial reporting.","Ensures data integrity for the vehicle fleet, which is foundational for accurate trip planning, compliance tracking, and operational reporting.","Must Have","2","[""US-006"",""US-025""]","[{""scenario"":""Successfully edit and save a vehicle record"",""given"":""I am an 'Admin' user viewing the form for an existing vehicle"",""when"":""I modify one or more fields (e.g., change 'Capacity' from 20 to 25) and click 'Save'"",""then"":""The system successfully saves the changes, and the updated information is immediately visible.""},{""scenario"":""Attempt to save with a duplicate Truck Number"",""given"":""I am an 'Admin' user editing vehicle 'V-001', and another vehicle 'V-002' already exists with the Truck Number 'KA01AB1234'"",""when"":""I change the 'Truck Number' of 'V-001' to 'KA01AB1234' and click 'Save'"",""then"":""The system must prevent the save operation and display a clear error message that the truck number must be unique.""},{""scenario"":""Audit trail is created upon successful edit"",""given"":""The audit trail feature is active"",""when"":""I successfully change a tracked field and save the record"",""then"":""The system must create an immutable audit log entry that records the change.""}]","[""Ensure the form view for `tms.vehicle` is configured for editing."",""Verify that Odoo's standard 'Edit' and 'Save' functionality works as expected."",""Ensure uniqueness and format validations are triggered on the 'write' method, not just 'create'."",""Integrate with the audit trail mechanism by inheriting `mail.thread`.""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Unit tests for validations on 'write' are implemented and passing."",""Audit trail generation is confirmed to be working as expected."",""Security is verified to ensure only authorized users can edit.""]"
"US-008","Core Module Setup & Master Data","Admin sets a vehicle's status to 'Active' or 'Inactive'","Admin","As an Admin, I want to set the status of a vehicle to 'Active' or 'Inactive', so that I can control which vehicles are available for new trip assignments while preserving the records of retired or unavailable vehicles for historical reporting.","Improves data integrity by preventing the assignment of unavailable vehicles, enhances operational efficiency by simplifying selection lists for dispatchers, and ensures complete historical data is retained.","Must Have","1","[""US-006"",""US-027""]","[{""scenario"":""Admin deactivates an available vehicle"",""given"":""I am an Admin viewing an 'Active' vehicle record not assigned to any ongoing trips"",""when"":""I change the vehicle's status to 'Inactive' (Archive) and save"",""then"":""The vehicle's status is saved as 'Inactive', and it no longer appears in the list of selectable vehicles when creating a new trip.""},{""scenario"":""Attempting to deactivate a vehicle assigned to an active trip"",""given"":""I am an Admin viewing a vehicle currently assigned to a trip with a status of 'Assigned' or 'In-Transit'"",""when"":""I attempt to change the vehicle's status to 'Inactive' and save"",""then"":""The system prevents the status change and displays a user-friendly error message.""}]","[""Use Odoo's standard 'active' boolean field on the `tms.vehicle` model."",""Implement a server-side constraint to check for active trips before allowing deactivation."",""Apply a domain filter `[('active', '=', True)]` to the vehicle selection field on the trip form.""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Unit test for the 'active trip' constraint is implemented and passing."",""Integration testing confirms the vehicle selection list on the trip form is correctly filtered.""]"
"US-009","Core Module Setup & Master Data","Admin attaches a document with an expiry date to a vehicle record","Admin","As an Admin, I want to upload vehicle-specific documents (like Insurance, RC), categorize them, and set their expiry dates, so that I can maintain a centralized, digital record of all compliance documents and enable the system to generate timely renewal alerts.","Ensures legal and regulatory compliance by tracking critical vehicle documents, preventing fines and operational downtime. Centralizes documentation for easy access and auditing.","Must Have","3","[""US-006""]","[{""scenario"":""Successfully upload a new, valid document to a vehicle"",""given"":""I am an Admin viewing the form for an existing vehicle"",""when"":""I add a document, select a 'Document Type', choose a future 'Expiry Date', upload a valid file (PDF, JPG, PNG under 5MB), and 'Save'"",""then"":""The document is successfully uploaded and associated with the vehicle record, appearing in the list of documents for that vehicle.""},{""scenario"":""Attempt to upload a file with an unsupported format or size"",""given"":""I am an Admin on the 'Add Document' form"",""when"":""I attempt to upload a file that is a .zip file or is larger than 5MB"",""then"":""The system rejects the file and displays a user-friendly error message specifying the allowed types and size limit.""}]","[""Create a `tms.vehicle.document` model with fields for type, expiry date, and a binary/attachment field."",""Add a One2many field on the `tms.vehicle` model to link to the documents."",""Implement validation for file type and size on the attachment field."",""Ensure Odoo's filestore is configured to use Amazon S3.""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Integration testing confirms files are correctly stored in and retrieved from the S3 bucket."",""Security testing confirms file access is restricted to authorized users.""]"
"US-011","Core Module Setup & Master Data","Admin creates a new driver record by extending an HR employee","Admin","As an Admin, I want to create a new driver record by adding driver-specific details (like license information) to an existing HR employee record, so that I can properly onboard drivers into the TMS, ensure compliance, and make them available for trip assignments.","Enables the creation of a compliant and operational driver pool, which is fundamental for trip assignment and management. Supports compliance by tracking license validity.","Must Have","2","[]","[{""scenario"":""Successfully designate an existing HR employee as a driver"",""given"":""I am an Admin on the form view of an 'hr.employee' record"",""when"":""I enable a flag 'Is a Driver', enter a valid 'License Number' and a future 'License Expiry Date', and save"",""then"":""The system saves the record, and this employee now appears in the list of available drivers for trip assignments.""},{""scenario"":""Driver-specific fields are hidden for non-driver employees"",""given"":""I am an Admin viewing the form of an 'hr.employee' record"",""when"":""The 'Is a Driver' flag is not enabled"",""then"":""The fields for 'License Number', 'License Expiry Date', etc., are not visible on the form.""}]","[""Inherit the `hr.employee` model to add driver-specific fields as per REQ-1-203."",""Inherit the `hr.employee` form view to add a new tab or section for TMS information."",""Use the `attrs` attribute in the view XML to conditionally show/hide the TMS section based on the 'Is a Driver' flag.""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed."",""Integration testing ensures the new driver is available for trip assignment."",""Security rules restrict editing of driver fields to Admins.""]"
