"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","Core System Foundation & RBAC","Admin creates a new user account with a primary role","Admin","As an Admin, I want to create a new user account by providing their name, email, and assigning a primary role, so that I can securely grant a new employee the appropriate level of system access to perform their job duties.","Enables secure and controlled onboarding of new employees by provisioning role-based access to the system, ensuring users have the correct permissions from their first login.","Must Have","1","[""US-070""]","[{""scenario"":""Successful creation of a new user with a primary role"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter a unique, valid email address, the user's full name, and select a 'Primary Role' (e.g., 'Dispatch Manager') from the available options"",""then"":""The system creates the new user account, the user appears in the list of system users, and the user is automatically assigned to the security group corresponding to the 'Dispatch Manager' role.""},{""scenario"":""Attempt to create a user with a non-unique email address"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter an email address that already exists for another user in the system and attempt to save"",""then"":""The system prevents the creation of the user and displays a clear, user-friendly error message such as 'A user with this email address already exists.'""}]","[""WI-003""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests cover new logic with >80% coverage."",""Security rules are confirmed to be enforced for Admin-only access."",""Feature is deployed and verified in the staging environment.""]"
"US-004","Core System Foundation & RBAC","Admin assigns a primary role to a user","Admin","As an Admin, I want to assign a single, predefined primary role (like Dispatch Manager, Finance Officer, or Driver) to a user account, so that I can efficiently manage access control and ensure each user has the appropriate permissions to perform their job duties according to the principle of least privilege.","Enforces a secure and manageable Role-Based Access Control (RBAC) system. Simplifies user onboarding and role changes, reduces the risk of unauthorized access, and ensures compliance with the principle of least privilege.","Must Have","2","[""US-001"",""US-070""]","[{""scenario"":""Assign a primary role to a user"",""given"":""I am logged in as an Admin and am viewing the user management form for an existing user."",""when"":""I select a primary role, for example 'Dispatch Manager', from the 'Primary Role' dropdown and save the user's record."",""then"":""The system successfully saves the change, assigns the 'Dispatch Manager' role to the user, and their permissions are immediately updated to reflect that role's access rights.""},{""scenario"":""Admin attempts to change their own role to a non-Admin role"",""given"":""I am logged in as an Admin and am editing my own user profile."",""when"":""I attempt to change my 'Primary Role' from 'Admin' to 'Driver' and save the record."",""then"":""The system must prevent the change and display a clear validation error message, such as 'Administrators cannot revoke their own admin privileges.'""}]","[""WI-003"",""WI-004""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests for role-switching logic are implemented with >80% coverage."",""Audit trail generation for role change is verified."",""Feature is deployed and verified in the staging environment.""]"
"US-070","Core System Foundation & RBAC","System Enforces Role-Based Access Control (RBAC) for All Data Models","System Administrator","As a System Administrator, I want the system to strictly enforce data access and modification rights based on a user's assigned role, so that sensitive company data is protected, operational integrity is maintained, and each user can only perform actions relevant to their job function.","Ensures data security and confidentiality, enforces the principle of least privilege, prevents unauthorized actions, reduces the risk of user error, and supports compliance with data protection regulations (DPDPA).","Must Have","8","[""US-004""]","[{""scenario"":""Dispatch Manager has operational access"",""given"":""A user is logged in with the 'Dispatch Manager' role"",""when"":""The user accesses the system"",""then"":""The user has full CRUD permissions on Trip and Expense records, but has read-only access to Customer, Vehicle, and Driver records.""},{""scenario"":""Finance Officer is restricted from operational functions"",""given"":""A user is logged in with the 'Finance Officer' role"",""when"":""The user attempts to create or assign a new Trip"",""then"":""The system prevents the action by hiding the 'Create' button on the Trip list view and disabling save actions on any new Trip record.""},{""scenario"":""Driver has restricted, personal access (Record-Level Security)"",""given"":""A user is logged in with the 'Driver' role"",""when"":""The user navigates to the list of Trips"",""then"":""The user can ONLY see Trip records where they are the assigned driver.""}]","[""WI-003"",""WI-004"",""WI-005""]","[""All acceptance criteria are met for all defined roles."",""Code for security groups, ACLs (`ir.model.access.csv`), and record rules (`ir.rule`) is implemented and reviewed."",""Automated tests verify key access restrictions (e.g., driver record rule)."",""Manual testing cycle confirms UI and data visibility for each role."",""Feature is deployed and verified in the staging environment.""]"
"US-015","Master Data Management","Admin creates a new customer record","Admin","As an Admin, I want to create a new customer record by entering their essential business details, including name, billing address, GSTIN, and contact information, so that the new customer is available in the system for trip planning, accurate invoicing, and maintaining a centralized client database.","Enables new business by onboarding clients into the system. Ensures data accuracy for logistics and financial operations. Creates a single source of truth for customer information.","Must Have","2","[]","[{""scenario"":""Successful creation of a new customer with valid data"",""given"":""The Admin is logged into the system and has navigated to the Customer management screen"",""when"":""The Admin clicks the 'Create' button, fills in all mandatory fields (Customer Name, Billing Address, GSTIN, Contact Person) with valid data, and clicks 'Save'"",""then"":""The system successfully creates a new customer record, the record is saved to the database, and the Admin is viewing the form of the newly created customer.""},{""scenario"":""Attempt to save a new customer with an invalid GSTIN format"",""given"":""The Admin is on the new customer creation form"",""when"":""The Admin enters a GSTIN that does not match the standard Indian format and attempts to save"",""then"":""The system prevents the record from being saved and displays a clear, user-friendly error message next to the GSTIN field.""}]","[""WI-002""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests for GSTIN validation logic are implemented with >80% coverage."",""Security rules are confirmed to be enforced for Admin-only access."",""Feature is deployed and verified in the staging environment.""]"
"US-011","Master Data Management","Admin creates a new driver record by extending an HR employee","Admin","As an Admin, I want to create a new driver record by adding driver-specific details (like license information) to an existing HR employee record, so that I can properly onboard drivers into the Transport Management System, ensure compliance, and make them available for trip assignments.","Enables the creation of a compliant and operational driver pool, which is fundamental for trip assignment and management.","Must Have","2","[]","[{""scenario"":""Successfully designate an existing HR employee as a driver with all required information"",""given"":""I am logged in as an Admin and am on the form view of an 'hr.employee' record that is not yet designated as a driver"",""when"":""I enable a flag (e.g., a checkbox 'Is a Driver'), enter a valid 'License Number' and a future 'License Expiry Date', and save the record"",""then"":""The system saves the employee record successfully, the driver-specific fields are visible and contain the saved data, and this employee now appears in the list of available drivers for trip assignments.""},{""scenario"":""Driver-specific fields are hidden for non-driver employees"",""given"":""I am logged in as an Admin and am viewing the form of an 'hr.employee' record"",""when"":""The 'Is a Driver' flag is not enabled"",""then"":""The fields for 'License Number', 'License Expiry Date', 'License Scan', and 'Driver Status' are not visible on the form.""}]","[""WI-002""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests for model validation logic are implemented with >80% coverage."",""Security rules restricting access to the 'Admin' role are implemented and verified."",""Feature is deployed and verified in the staging environment.""]"
"US-006","Master Data Management","Admin creates a new vehicle record","Admin","As an Admin, I want to create a new vehicle record by entering its key details like truck number, model, capacity, and ownership status, so that the vehicle is officially registered in the system and can be managed, assigned to trips, and tracked for operational and financial purposes.","Establishes the foundational master data for the vehicle fleet, enabling core functionalities like trip assignment, expense tracking, and operational reporting.","Must Have","3","[""US-058"",""US-070""]","[{""scenario"":""Successful creation of a new vehicle record with all mandatory fields"",""given"":""I am logged in as an Admin and am on the 'Vehicles' list view"",""when"":""I click the 'Create' button, fill in all mandatory fields (Truck Number, Model, Capacity, Owner Details, Fuel Type) with valid and unique data, and click 'Save'"",""then"":""A new vehicle record is successfully created in the system, I am redirected to the new vehicle's form view, and a confirmation message is displayed. The vehicle's status defaults to 'Active'.""},{""scenario"":""Attempt to create a vehicle with a duplicate Truck Number"",""given"":""A vehicle with the Truck Number 'KA01AB1234' already exists in the system"",""when"":""I attempt to create a new vehicle and enter 'KA01AB1234' in the Truck Number field and click 'Save'"",""then"":""The system prevents the record from being saved and displays a clear, user-friendly error message stating that the 'Truck Number must be unique'.""}]","[""WI-006"",""WI-007""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests for the model's constraints (uniqueness, format) are written and achieve >80% coverage."",""E2E tests for the happy path and key error conditions are implemented."",""Feature is deployed and verified in the staging environment.""]"
"US-026","Trip Lifecycle Management","Dispatch Manager creates a new trip","Dispatch Manager","As a Dispatch Manager, I want to create a new trip record by selecting a customer, defining the route, and specifying the material details and rate, so that I can formally initiate a transport job and move it into the planning and assignment phase.","Initiates the primary revenue-generating workflow of the system. Enables formal planning, resource allocation, tracking, and subsequent invoicing for a transport job.","Must Have","5","[""US-015"",""US-019"",""US-020""]","[{""scenario"":""Successful trip creation with all valid manual inputs"",""given"":""I am logged in as a Dispatch Manager and am on the 'New Trip' form"",""when"":""I select an 'Active' customer, manually enter a Source and Destination, select a Material, enter a Weight, select a Rate Type (e.g., 'Fixed'), enter a Rate value, and select a future Expected Delivery Date"",""then"":""The system successfully creates a new trip record with a unique ID, sets its initial status to 'Planned', and redirects me to the Trip List view where the new trip is visible at the top.""},{""scenario"":""Attempt to save a trip with missing mandatory fields"",""given"":""I am on the 'New Trip' form"",""when"":""I attempt to save the form without selecting a Customer (or Source, or Destination)"",""then"":""The system prevents the record from being saved and displays a clear, user-friendly validation message next to the required field (e.g., 'Customer is a required field').""}]","[""WI-011"",""WI-012""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests for all new business logic and validations have been written and are passing with >80% coverage."",""E2E tests for the happy path and key error conditions are passing."",""Feature is deployed and verified in the staging environment.""]"
"US-027","Trip Lifecycle Management","Dispatch Manager assigns an available vehicle and driver to a trip","Dispatch Manager","As a Dispatch Manager, I want to select an available vehicle and an available driver from filtered lists and assign them to a 'Planned' trip so that I can operationalize the trip, ensure compliance with company and regulatory rules, and move the trip to the 'Assigned' status, ready for execution.","Enables the transition of a trip from planning to execution, ensures efficient and compliant resource allocation, and prevents operational errors such as using unavailable or non-compliant assets.","Must Have","5","[""US-026"",""US-006"",""US-012""]","[{""scenario"":""Happy Path: Successful assignment of a valid vehicle and driver"",""given"":""I am a Dispatch Manager viewing a trip in 'Planned' status"",""when"":""I select an 'Active' vehicle with sufficient capacity and an 'Active' driver with a valid license, and save the assignment"",""then"":""The system successfully links the selected vehicle and driver to the trip record, the trip's status changes from 'Planned' to 'Assigned', and a confirmation message is displayed.""},{""scenario"":""Vehicle selection list is correctly filtered"",""given"":""I am a Dispatch Manager viewing a trip in 'Planned' status"",""when"":""I open the vehicle selection dropdown"",""then"":""The list of vehicles MUST NOT include any vehicles that are marked as 'Inactive' OR are currently assigned to another trip with a status of 'In-Transit'.""},{""scenario"":""Attempt to assign a vehicle with insufficient capacity"",""given"":""I am a Dispatch Manager viewing a trip in 'Planned' status with a material weight of 25 Tons"",""when"":""I attempt to select and assign a vehicle with a registered capacity of only 20 Tons"",""then"":""The system must prevent the assignment and display a clear, user-friendly error message, such as 'Assignment failed: Vehicle capacity (20 Tons) is less than the trip weight (25 Tons).'""}]","[""WI-013""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests for domain filtering and validation logic are implemented and passing with >80% coverage."",""Role-based security is confirmed (only Dispatch Manager/Admin can perform the action)."",""Feature is deployed and verified in the staging environment.""]"
"US-046","Trip Lifecycle Management","Driver logs into the mobile-friendly web portal","Driver","As a Driver, I want to securely log into a simple, mobile-friendly web portal using my credentials, so that I can access my assigned trips, submit expenses, and update my status while on the go.","Enables drivers to access the system, which is the primary entry point for all field-based data capture (trip status, expenses, PODs). This is a foundational requirement for real-time operational visibility.","Must Have","5","[""US-001"",""US-004"",""US-014"",""US-047""]","[{""scenario"":""Successful login with valid credentials"",""given"":""A user with the 'Driver' role exists and is on the mobile-friendly login page"",""when"":""The driver enters their correct username and password and taps the 'Log In' button"",""then"":""The system validates the credentials, establishes a secure session, and redirects the driver to their main portal dashboard.""},{""scenario"":""Login page responsiveness on mobile device"",""given"":""A user is accessing the login page"",""when"":""The page is viewed on a device with a screen width of 360px"",""then"":""All UI elements (input fields, labels, button) are clearly visible, usable, and correctly formatted without horizontal scrolling.""}]","[""WI-015""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""E2E automated tests for the login flow are created and passing."",""Security review confirms adherence to security NFRs."",""Feature is deployed and verified in the staging environment on a mobile device/emulator.""]"
"US-047","Trip Lifecycle Management","Driver views their list of current and past trips","Driver","As a Driver, I want to view a clear, mobile-friendly list of my current and past trips, so that I can easily see my immediate assignments and review my work history for reference.","Improves operational efficiency by providing drivers with immediate, clear access to their assignments, reducing communication overhead with dispatch. Enhances driver trust and transparency by providing an accessible work history.","Must Have","3","[""US-046"",""US-027""]","[{""scenario"":""Default view shows current trips"",""given"":""a Driver is logged into the mobile web portal and has trips with statuses 'Assigned' and 'In-Transit'"",""when"":""the driver navigates to the 'My Trips' page"",""then"":""a list of their 'Current' trips is displayed by default, containing only the trips with 'Assigned' or 'In-Transit' status.""},{""scenario"":""Data is properly scoped to the logged-in driver"",""given"":""a Driver is logged in"",""when"":""they access the 'My Trips' page"",""then"":""the system must ensure that only trips explicitly assigned to that driver are ever fetched and displayed.""}]","[""WI-015""]","[""All acceptance criteria are met and validated."",""Code is peer-reviewed, merged, and passes all CI checks."",""Unit tests for the backend controller achieve >80% coverage."",""Backend API endpoint is confirmed to be secure via record rules."",""Feature is deployed and verified in the staging environment.""]"
