"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-001","User and Access Management","Admin creates a new user account with a primary role","Admin","As an Admin, I want to create a new user account by providing their name, email, and assigning a primary role, so that I can securely grant a new employee the appropriate level of system access to perform their job duties.","Enables secure and controlled onboarding of new employees by provisioning role-based access to the system, ensuring users have the correct permissions from their first login.","Must Have","2","[""US-004"",""US-070""]","[{""scenario"":""Successful creation of a new user with a primary role"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter a unique, valid email address, the user's full name, and select a 'Primary Role' (e.g., 'Dispatch Manager') from the available options"",""then"":""The system creates the new user account, the user appears in the list of system users, and the user is automatically assigned to the security group corresponding to the 'Dispatch Manager' role.""},{""scenario"":""Attempt to create a user with a non-unique email address"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I enter an email address that already exists for another user in the system and attempt to save"",""then"":""The system prevents the creation of the user and displays a clear, user-friendly error message such as 'A user with this email address already exists.'""},{""scenario"":""Attempt to create a user with missing required information"",""given"":""I am logged in as an Admin and am on the 'Create User' screen"",""when"":""I attempt to save the new user without providing a name, email, or selecting a primary role"",""then"":""The system prevents the record from being saved and visually indicates which mandatory fields are missing.""}]","[""WI-002"",""WI-004""]","[""All acceptance criteria validated and passing."",""Code for extending `res.users` with role management logic is reviewed and merged."",""Unit tests for the role assignment logic in `create`/`write` methods are passing with >80% coverage."",""Security rules restricting this functionality to Admins are verified."",""Feature is deployed and verified in the staging environment.""]"
"US-004","User and Access Management","Admin defines and assigns a primary role to a user","Admin","As an Admin, I want to assign a single, predefined primary role (like Dispatch Manager, Finance Officer, or Driver) to a user account, so that I can efficiently manage access control and ensure each user has the appropriate permissions to perform their job duties according to the principle of least privilege.","Enforces a secure and manageable Role-Based Access Control (RBAC) system. Simplifies user onboarding and role changes, reduces the risk of unauthorized access, and ensures compliance with the principle of least privilege.","Must Have","2","[""US-001"",""US-070""]","[{""scenario"":""Assign a primary role to a user"",""given"":""I am logged in as an Admin and am viewing the user management form for an existing user."",""when"":""I select a primary role, for example 'Dispatch Manager', from the 'Primary Role' dropdown and save the user's record."",""then"":""The system successfully saves the change, assigns the 'Dispatch Manager' role to the user, and their permissions are immediately updated to reflect that role's access rights.""},{""scenario"":""Admin attempts to change their own role to a non-Admin role"",""given"":""I am logged in as an Admin and am editing my own user profile."",""when"":""I attempt to change my 'Primary Role' from 'Admin' to 'Driver' and save the record."",""then"":""The system must prevent the change and display a clear validation error message, such as 'Administrators cannot revoke their own admin privileges.'""}]","[""WI-002"",""WI-004""]","[""All acceptance criteria validated and passing."",""Code for managing security group memberships based on role selection is reviewed and merged."",""Unit tests for role-switching logic and admin self-demotion prevention are passing."",""E2E testing confirms a user's permissions change correctly after their role is modified."",""Feature is deployed and verified in the staging environment.""]"
"US-006","Master Data Management","Admin creates a new vehicle record","Admin","As an Admin, I want to create a new vehicle record by entering its key details like truck number, model, capacity, and ownership status, so that the vehicle is officially registered in the system and can be managed, assigned to trips, and tracked for operational and financial purposes.","Establishes the foundational master data for the vehicle fleet, enabling core functionalities like trip assignment, expense tracking, and operational reporting. This is critical for the system's primary purpose.","Must Have","3","[""US-071"",""US-072""]","[{""scenario"":""Successful creation of a new vehicle record with all mandatory fields"",""given"":""I am logged in as an Admin and am on the 'Vehicles' list view"",""when"":""I click the 'Create' button, fill in all mandatory fields (Truck Number, Model, Capacity, Owner Details, Fuel Type) with valid and unique data, and click 'Save'"",""then"":""A new vehicle record is successfully created in the system, its status defaults to 'Active', and I am redirected to the new vehicle's form view.""},{""scenario"":""Attempt to create a vehicle with a duplicate Truck Number"",""given"":""A vehicle with the Truck Number 'KA01AB1234' already exists in the system"",""when"":""I attempt to create a new vehicle and enter 'KA01AB1234' in the Truck Number field and click 'Save'"",""then"":""The system prevents the record from being saved and displays a clear, user-friendly error message stating that the 'Truck Number must be unique'.""}]","[""WI-005"",""WI-006""]","[""All acceptance criteria validated and passing."",""Code for the `tms.vehicle` model and associated views is reviewed and merged."",""Unit tests for model constraints (uniqueness, format) are passing with >80% coverage."",""Security access rules are verified to restrict access to Admins."",""The feature is deployed and verified in the staging environment.""]"
"US-009","Master Data Management","Admin attaches a document with an expiry date to a vehicle record","Admin","As an Admin, I want to upload vehicle-specific documents (like Insurance, RC, Fitness Certificate), categorize them, and set their expiry dates, so that I can maintain a centralized, digital record of all compliance documents and enable the system to generate timely renewal alerts, ensuring our fleet remains legally operational at all times.","Ensures legal and regulatory compliance by tracking critical vehicle documents, preventing fines and operational downtime from expired certifications. Centralizes documentation for easy access and auditing.","Must Have","5","[""US-006""]","[{""scenario"":""Successfully upload a new, valid document to a vehicle"",""given"":""I am an Admin logged into the system and am viewing the form for an existing vehicle"",""when"":""I navigate to the 'Documents' section and click 'Add Document', then I select a 'Document Type', choose a future 'Expiry Date', upload a valid file (PDF, JPG, PNG under 5MB), and click 'Save'"",""then"":""The document is successfully uploaded and associated with the vehicle record, and the new document appears in the list of documents for that vehicle.""},{""scenario"":""Attempt to upload a file with an unsupported format or size"",""given"":""I am an Admin on the 'Add Document' form"",""when"":""I attempt to upload a file that is larger than 5MB or has an unsupported file type (e.g., .zip, .exe)"",""then"":""The system rejects the file and displays a user-friendly error message specifying the allowed file types and size.""}]","[""WI-007""]","[""All acceptance criteria validated and passing."",""Code for the `tms.vehicle.document` model and view modifications is reviewed and merged."",""Integration testing confirms that files are correctly stored in and retrieved from the S3 bucket."",""Security testing confirms file access is restricted to authorized users."",""The feature is deployed and verified in the staging environment.""]"
"US-011","Master Data Management","Admin creates a new driver record by extending an HR employee","Admin","As an Admin, I want to create a new driver record by adding driver-specific details (like license information) to an existing HR employee record, so that I can properly onboard drivers into the Transport Management System, ensure compliance, and make them available for trip assignments.","Enables the creation of a compliant and operational driver pool, which is fundamental for trip assignment and management.","Must Have","2","[]","[{""scenario"":""Successfully designate an existing HR employee as a driver with all required information"",""given"":""I am logged in as an Admin and am on the form view of an 'hr.employee' record that is not yet designated as a driver"",""when"":""I enable a flag 'Is a Driver', enter a valid 'License Number' and a future 'License Expiry Date', and save the record"",""then"":""The system saves the employee record successfully, and this employee now appears in the list of available drivers for trip assignments.""},{""scenario"":""Driver-specific fields are hidden for non-driver employees"",""given"":""I am logged in as an Admin and am viewing the form of an 'hr.employee' record"",""when"":""The 'Is a Driver' flag is not enabled"",""then"":""The fields for 'License Number' and 'License Expiry Date' are not visible on the form.""}]","[""WI-003"",""WI-010""]","[""All acceptance criteria validated and passing."",""Code for extending the `hr.employee` model and view is reviewed and merged."",""Integration testing confirms the new driver is available for trip assignment."",""Security rules restricting edit access to Admins are verified."",""The feature is deployed and verified in the staging environment.""]"
"US-015","Master Data Management","Admin creates a new customer record with GSTIN validation","Admin","As an Admin, I want to create a new customer record by entering their essential business details, including name, billing address, GSTIN, and contact information, so that the new customer is available in the system for trip planning, accurate invoicing, and maintaining a centralized client database.","Enables new business by onboarding clients into the system. Ensures data accuracy for logistics and financial operations.","Must Have","2","[]","[{""scenario"":""Successful creation of a new customer with valid data"",""given"":""The Admin is logged into the system and has navigated to the Customer management screen"",""when"":""The Admin clicks 'Create', fills in all mandatory fields (Customer Name, Billing Address, GSTIN) with valid data, and clicks 'Save'"",""then"":""The system successfully creates a new customer record, and the Admin is viewing the form of the newly created customer.""},{""scenario"":""Attempt to save a new customer with an invalid GSTIN format"",""given"":""The Admin is on the new customer creation form"",""when"":""The Admin enters a GSTIN that does not match the standard Indian format and attempts to save"",""then"":""The system prevents the record from being saved and displays a clear error message next to the GSTIN field.""}]","[""WI-003"",""WI-009""]","[""All acceptance criteria validated and passing."",""Code for extending the `res.partner` model and view is reviewed and merged."",""Unit tests for GSTIN validation logic are passing with >80% coverage."",""Security rules restricting edit access to Admins are verified."",""The feature is deployed and verified in the staging environment.""]"
"US-019","Master Data Management","Admin creates and manages pre-defined transportation routes","Admin","As an Admin, I want to create and manage a master list of pre-defined transportation routes, including a name, source, destination, and standard distance, so that Dispatch Managers can quickly select a standard route during trip creation, ensuring consistency and speeding up the planning process.","Improves operational efficiency by reducing manual data entry for trip creation. Enhances data accuracy and consistency by standardizing common routes.","Must Have","2","[]","[{""scenario"":""Admin successfully creates a new pre-defined route"",""given"":""The user is logged in as an 'Admin' and has navigated to the 'Routes' management screen"",""when"":""The user initiates the creation of a new route and fills in all mandatory fields ('Route Name', 'Source', 'Destination', 'Standard Distance') with valid data"",""then"":""The system saves the new route record to the database and it appears in the list of pre-defined routes.""},{""scenario"":""System prevents route creation with missing mandatory information"",""given"":""The user is on the new route creation form"",""when"":""The user attempts to save the route without providing a 'Route Name'"",""then"":""The system prevents the record from being saved and displays a clear validation message.""}]","[""WI-011""]","[""All acceptance criteria validated and passing."",""Code for the `tms.route` model and views is reviewed and merged."",""Unit tests for model constraints are passing."",""Security access rules are verified to restrict access to Admins."",""The feature is deployed and verified in the staging environment.""]"
"US-020","Master Data Management","Admin manages the list of material types","Admin","As an Admin, I want to create, view, edit, and deactivate material types, so that I can ensure data consistency across the system and provide a predefined list for trip creation.","Ensures data integrity for accurate reporting and improves efficiency in the trip creation process by providing a predefined list of materials.","Must Have","1","[]","[{""scenario"":""Admin creates a new material type successfully"",""given"":""The user is logged in as an Admin and is on the 'Material Types' list view"",""when"":""The user clicks 'New', enters a unique name (e.g., 'Industrial Solvents'), and clicks 'Save'"",""then"":""The system creates a new, active material type record, and it appears in the list view.""},{""scenario"":""System prevents creation of a material type with a duplicate name"",""given"":""A material type with the name 'Cement Bags' already exists"",""when"":""The Admin attempts to create a new material type and enters 'Cement Bags' as the name"",""then"":""The system prevents saving the record and displays a user-friendly validation error message.""}]","[""WI-012""]","[""All acceptance criteria validated and passing."",""Code for the `tms.material` model and views is reviewed and merged."",""Unit tests for model constraints (uniqueness) are passing."",""Security access rules are verified."",""The feature is deployed and verified in the staging environment.""]"
"US-026","Trip Lifecycle Management","Dispatch Manager creates a new trip","Dispatch Manager","As a Dispatch Manager, I want to create a new trip record by selecting a customer, defining the route, and specifying the material details and rate, so that I can formally initiate a transport job and move it into the planning and assignment phase.","Initiates the primary revenue-generating workflow of the system. Enables formal planning, resource allocation, tracking, and subsequent invoicing for a transport job.","Must Have","5","[""US-015"",""US-019"",""US-020""]","[{""scenario"":""Successful trip creation with all valid manual inputs"",""given"":""I am logged in as a Dispatch Manager and am on the 'New Trip' form"",""when"":""I select an 'Active' customer, enter Source/Destination, select a Material, enter Weight, select a Rate Type, enter a Rate value, and select a future Expected Delivery Date"",""then"":""The system successfully creates a new trip record with a unique ID and sets its initial status to 'Planned'.""},{""scenario"":""Attempt to save a trip with missing mandatory fields"",""given"":""I am on the 'New Trip' form"",""when"":""I attempt to save the form without selecting a Customer (or Source, or Destination)"",""then"":""The system prevents the record from being saved and displays a clear validation message.""}]","[""WI-013"",""WI-014"",""WI-015""]","[""All acceptance criteria validated and passing."",""Code for the `tms.trip` model, state machine, and views is reviewed and merged."",""Unit tests for all business rules and validations are passing with >80% coverage."",""E2E test for the happy path of trip creation is passing."",""The feature is deployed and verified in the staging environment.""]"
"US-027","Trip Lifecycle Management","Dispatch Manager assigns an available vehicle and driver to a trip","Dispatch Manager","As a Dispatch Manager, I want to select an available vehicle and an available driver from filtered lists and assign them to a 'Planned' trip so that I can operationalize the trip and move it to the 'Assigned' status.","Enables the transition of a trip from planning to execution, ensures efficient and compliant resource allocation, and prevents operational errors.","Must Have","5","[""US-026"",""US-006"",""US-011""]","[{""scenario"":""Successful assignment of a valid vehicle and driver"",""given"":""I am a Dispatch Manager viewing a trip in 'Planned' status"",""when"":""I select an 'Active' vehicle with sufficient capacity and an 'Active' driver with a valid license, and save the assignment"",""then"":""The system successfully links the vehicle and driver to the trip, and the trip's status changes from 'Planned' to 'Assigned'.""},{""scenario"":""Attempt to assign a vehicle with insufficient capacity"",""given"":""I am a Dispatch Manager viewing a trip with a material weight of 25 Tons"",""when"":""I attempt to select and assign a vehicle with a capacity of only 20 Tons"",""then"":""The system must prevent the assignment and display a clear error message.""},{""scenario"":""Attempt to assign a driver with an expired license"",""given"":""I am a Dispatch Manager viewing a trip"",""when"":""I attempt to select a driver whose license is expired"",""then"":""The system must prevent the assignment and display a clear error message.""}]","[""WI-016""]","[""All acceptance criteria validated and passing."",""Server-side validation for license expiry and vehicle capacity is implemented and tested."",""Unit tests for the assignment validation logic are passing."",""The trip status correctly transitions to 'Assigned' upon successful assignment."",""The feature is deployed and verified in the staging environment.""]"
