"story_id","epic","title","user_role","description","business_value","priority","story_points","dependencies","acceptance_criteria","technical_tasks","definition_of_done"
"US-092","Driver Portal","Driver accesses self-service training materials in mobile portal","Driver","As a Driver, I want to access a dedicated 'Help & Training' section within my mobile portal that contains short video tutorials and a downloadable quick-reference guide, so that I can learn how to use the system's features correctly at my own pace and quickly find answers to my questions while on the road.","Reduces the support load on dispatch and admin staff by empowering drivers with self-service training. Improves driver proficiency, reduces operational errors, and increases user adoption.","Should Have","3","[""US-046""]","[{""scenario"":""Navigation to Training Section"",""given"":""I am a user with the 'Driver' role and I am logged into the mobile-friendly web portal"",""when"":""I view the main navigation menu of the portal"",""then"":""I see a clearly labeled and easily tappable option for 'Help & Training'.""},{""scenario"":""Viewing Available Training Materials"",""given"":""I have navigated to the 'Help & Training' page"",""when"":""the page finishes loading"",""then"":""I see a list of available video tutorials, each with a descriptive title (e.g., 'How to Submit an Expense').""},{""scenario"":""Playing a Video Tutorial"",""given"":""I am on the 'Help & Training' page with a list of videos"",""when"":""I tap on a video tutorial's title or thumbnail"",""then"":""an embedded video player loads and plays the video directly within the page without navigating away.""},{""scenario"":""No Training Materials Available"",""given"":""I have navigated to the 'Help & Training' page and no training materials have been uploaded by an Admin"",""when"":""the page loads"",""then"":""I see a user-friendly message, such as 'No training materials are available at this time. Please check back later.'""}]","[""Create a new Odoo model `tms.training.material` to store training metadata."",""Create a new OWL component for the 'Help & Training' page in the Driver Portal."",""Develop an Odoo controller to serve training material data to the frontend."",""Integrate an HTML5 video player into the OWL component.""]","[""All acceptance criteria validated and passing on target mobile browsers."",""Code has been peer-reviewed and merged into the main development branch."",""Unit tests for the new Odoo model and controller achieve >80% coverage."",""E2E tests simulating the driver's journey are implemented and passing."",""The feature is deployed and verified in the staging environment.""]"
"US-091","Transition & Go-Live","User receives role-based training and materials for the new TMS","All TMS user roles","As a new system user (Admin, Manager, Finance Officer, or Driver), I want to receive training materials and sessions tailored to my specific job responsibilities, so that I can confidently and effectively use the Transport Management System from the first day of go-live.","Ensures smooth user adoption, reduces post-launch errors and support requests, minimizes business disruption during cutover, and maximizes the return on investment in the new system.","Must Have","13","[""US-046""]","[{""scenario"":""Instructor-Led Training for Office Staff"",""given"":""The TMS is feature-complete and stable in the staging environment"",""when"":""An Admin, Dispatch Manager, or Finance Officer attends their scheduled, role-specific training session"",""then"":""They can successfully complete a set of predefined key tasks for their role in the staging environment and confirm their understanding of the system.""},{""scenario"":""Driver Accesses Video Tutorials"",""given"":""A Driver is logged into the mobile-friendly web portal"",""when"":""They navigate to the 'Help & Training' section"",""then"":""They see a list of short video tutorials covering their key tasks and can play them directly within the browser.""},{""scenario"":""Distribution of Driver Quick Reference Guide (QRG)"",""given"":""A laminated, one-page Quick Reference Guide (QRG) for drivers has been created and printed"",""when"":""The go-live date approaches"",""then"":""Every driver has been given a physical copy of the QRG.""}]","[""Develop the 'Help & Training' section in the Driver Portal."",""Prepare staging environment with production-like data for training sessions."",""Non-technical tasks: Create user manuals, record video tutorials, design QRG, schedule and conduct training.""]","[""All training materials (User Manual, Videos, QRG) created, reviewed, and approved."",""Software component for Driver Portal training page is developed, tested, and deployed."",""All instructor-led training sessions have been completed and attendance recorded."",""A process for training new hires post-launch has been documented.""]"
"US-090","Transition & Go-Live","Admin validates migrated data in a staging environment","Admin","As an Admin responsible for the system's go-live, I want to execute a dry-run of the data migration in a staging environment and receive a comprehensive validation report, so that I can verify data integrity, identify and fix any issues before the production cutover, and ensure a smooth and successful transition to the new TMS.","Mitigates the significant business risk of data loss, corruption, or a failed go-live. Ensures business continuity by verifying that all critical operational and financial data is accurately transferred to the new system.","Must Have","13","[""US-089""]","[{""scenario"":""Validation report shows matching record counts for master data"",""given"":""The migration and validation process has been successfully executed"",""when"":""The Admin reviews the generated validation report"",""then"":""The report must contain a section for 'Record Count Comparison' which shows identical counts for 'active Customers', 'all Vehicles', and 'active Drivers' between the source data dump and the target staging database.""},{""scenario"":""Validation report shows successful financial reconciliation"",""given"":""The migration and validation process has been successfully executed"",""when"":""The Admin reviews the generated validation report"",""then"":""The report must contain a 'Financial Reconciliation' section that shows the sum of all open (unpaid) invoice balances from the source data matches the sum of all outstanding balances in the staging TMS customer ledgers.""},{""scenario"":""Validation report identifies data transformation or mapping errors"",""given"":""A legacy data dump contains records that violate the new system's validation rules"",""when"":""The migration and validation process is executed"",""then"":""The validation report must list the specific records that failed to migrate or were migrated with data integrity issues, along with a reason for the failure.""}]","[""Develop Python scripts to perform post-migration validation."",""Script to compare record counts between source (CSV) and target (Odoo DB)."",""Script to perform financial reconciliation of open invoices."",""Script to generate a structured, human-readable report file.""]","[""Migration validation scripts are written, code-reviewed, and merged."",""A successful dry-run has been demonstrated to project stakeholders using the full legacy dataset."",""The Admin user has formally signed off on the process and its results."",""The staging environment reset procedure is documented and has been successfully tested.""]"
"US-089","Transition & Go-Live","Admin executes a one-time data migration from the legacy system","Admin","As an Admin, I want to execute a well-defined process with supporting scripts to migrate key master data and open financial transactions from our legacy system into the new TMS, so that the system is populated with accurate, essential business data at go-live, ensuring operational continuity and a seamless transition for all users.","Enables business continuity by populating the new TMS with critical operational data before go-live. This avoids catastrophic data loss and eliminates the need for manual re-entry, facilitating a seamless cutover.","Must Have","21","[""US-006"",""US-011"",""US-015"",""US-037""]","[{""scenario"":""Successful migration of active customer master data"",""given"":""A clean CSV file containing active customers from the legacy system is available"",""when"":""The Admin executes the customer migration process"",""then"":""All customer records from the file are created in the Odoo 'res.partner' model, and all fields are mapped correctly.""},{""scenario"":""Successful migration of open financial transactions (unpaid invoices)"",""given"":""The customer migration has been successfully completed, and a clean CSV file of open invoices is available"",""when"":""The Admin executes the invoice migration process"",""then"":""All open invoices are created in Odoo, correctly linked to their respective customer records, and reflect the correct outstanding balance.""},{""scenario"":""Migration script handles records with missing mandatory data"",""given"":""A source CSV file where one or more records are missing a mandatory field"",""when"":""The Admin executes the relevant migration script"",""then"":""The script skips the invalid records, logs a detailed error for each, and successfully processes all other valid records.""},{""scenario"":""Generation of a comprehensive migration summary report"",""given"":""The entire migration process has been completed"",""when"":""The Admin reviews the output of the process"",""then"":""A summary report file is generated that clearly states for each data type: total records in source, records successfully imported, and records failed/skipped.""}]","[""Analyze legacy data schema and finalize data mapping document."",""Develop Python scripts for data cleansing, transformation, and loading using Odoo's ORM or data import tools."",""Create a master orchestration script to run migrations in the correct sequence."",""Implement robust error logging and summary reporting.""]","[""Migration scripts and supporting documentation are code-reviewed and merged."",""A full end-to-end migration dry-run has been successfully completed in the staging environment."",""The generated validation report from the staging dry-run has been reviewed and approved by stakeholders."",""The performance of the migration process is confirmed to be within the acceptable cutover window.""]"
"US-088","Financial Management & Invoicing","System flags invoices and alerts on GSP API failure","Finance Officer","As a Finance Officer, I want the system to automatically flag an invoice and send me a high-priority alert when the e-invoice generation fails, so that I can immediately take corrective action, ensure GST compliance, and prevent delays in the billing cycle.","Ensures GST compliance by preventing silent failures of e-invoice generation. Improves operational efficiency by immediately notifying the responsible user to investigate and resolve billing issues, thus protecting revenue and avoiding penalties.","Must Have","5","[""US-037"",""US-087"",""US-060""]","[{""scenario"":""GSP API returns an error response during e-invoice generation"",""given"":""A Finance Officer has initiated the e-invoice generation process"",""when"":""The system calls the GSP API and receives a definitive error response (e.g., HTTP 4xx or 5xx)"",""then"":""The invoice's status is immediately changed to 'E-Invoice Generation Failed', the specific error is logged, and a high-priority notification is sent to the 'Finance Officer' role.""},{""scenario"":""Visual indication of failed invoices in the list view"",""given"":""At least one invoice exists with the status 'E-Invoice Generation Failed'"",""when"":""A user with appropriate permissions views the main invoice list"",""then"":""The entire row for each failed invoice is visually highlighted (e.g., with a light red background) to distinguish it from other invoices.""},{""scenario"":""Notification provides direct access to the failed invoice"",""given"":""A Finance Officer has received a notification about a failed e-invoice generation"",""when"":""The officer clicks on the notification in the Odoo notification center"",""then"":""The system navigates them directly to the form view of the specific invoice that failed.""}]","[""Add a new state 'E-Invoice Generation Failed' to the `account.move` model."",""Add a field to `account.move` to store the last error message."",""Extend the GSP integration logic to catch exceptions and trigger the state change."",""Integrate with the notification system to send a targeted alert to the 'Finance Officer' group."",""Update the invoice list view (XML) to conditionally apply a CSS class for highlighting.""]","[""All acceptance criteria validated and passing."",""Unit tests implemented for the error handling logic and passing with >80% coverage."",""Integration testing against a GSP sandbox environment completed successfully."",""User interface changes reviewed and approved by the Product Owner.""]"
"US-087","Financial Management & Invoicing","Finance Officer generates a compliant e-invoice via GSP integration","Finance Officer","As a Finance Officer, I want to generate a GST-compliant e-invoice by sending trip data to a GST Suvidha Provider (GSP) through an automated integration, so that I can fulfill legal requirements efficiently, reduce manual errors, and ensure timely and accurate customer billing.","Ensures regulatory compliance with Indian GST laws, automates a critical financial process, reduces manual data entry errors, and potentially accelerates the payment cycle.","Must Have","13","[""US-037"",""US-015"",""US-039""]","[{""scenario"":""Successful e-invoice generation on the first attempt"",""given"":""An Odoo invoice is in 'Posted' state and linked to a 'Completed' trip"",""when"":""The Finance Officer clicks the 'Generate E-Invoice' button"",""then"":""The system successfully receives a valid IRN and signed QR code from the GSP, stores these details against the invoice, and updates the invoice's 'E-Invoice Status' to 'Generated'.""},{""scenario"":""GSP API is temporarily unavailable or times out"",""given"":""A Finance Officer attempts to generate an e-invoice"",""when"":""The synchronous API call to the GSP fails due to a timeout or a 5xx server error"",""then"":""The system adds the e-invoice generation task to an asynchronous queue for automatic retries, sets the status to 'Pending Retry', and provides immediate UI feedback.""},{""scenario"":""PDF invoice report is updated with e-invoice details"",""given"":""An e-invoice has been successfully generated for an invoice"",""when"":""A user prints or downloads the PDF version of the invoice"",""then"":""The generated PDF document prominently displays the signed QR code and the Invoice Reference Number (IRN).""}]","[""WI-401: Develop GSP API Client Service"",""WI-402: Implement E-Invoice Generation Workflow with sync/async fallback"",""WI-403: Update Invoice PDF Report with IRN and QR code""]","[""All acceptance criteria validated and passing in the GSP sandbox environment."",""Unit tests for data mapping and API client achieve >80% code coverage."",""Integration testing against the GSP sandbox is completed."",""Security review confirms credentials are managed securely via AWS Secrets Manager.""]"
"US-086","Financial Management & Invoicing","Finance Officer creates a pre-filled draft invoice from a completed trip","Finance Officer","As a Finance Officer, I want to automatically generate a pre-filled invoice from a completed trip record, so that I can reduce manual data entry, minimize errors, and speed up the customer billing process.","Improves billing accuracy and efficiency, reduces the time from service completion to invoicing, and enhances cash flow by minimizing data entry errors and delays.","Must Have","2","[""US-015"",""US-026"",""US-037""]","[{""scenario"":""Generate a draft invoice from a completed trip"",""given"":""I am viewing a Trip record that is in the 'Completed' state"",""when"":""I click the 'Create Invoice' button on the trip form"",""then"":""The system creates a new customer invoice in 'Draft' status and redirects me to the new invoice form.""},{""scenario"":""Correct data mapping from Trip to Invoice"",""given"":""A new draft invoice has been generated from a trip record"",""when"":""I view the newly created draft invoice"",""then"":""The invoice's 'Customer', invoice line description, and 'Unit Price' must match the trip's 'Customer', details, and 'Rate'.""},{""scenario"":""Prevent duplicate invoice creation"",""given"":""I am viewing a 'Completed' trip for which an invoice has already been generated"",""when"":""I view the trip form"",""then"":""The 'Create Invoice' button is hidden, and a 'View Invoice' button/link is displayed instead.""}]","[""Add a 'Create Invoice' button to the Trip form view."",""Implement a Python method on the `tms.trip` model to handle invoice creation."",""Map fields from `tms.trip` to a new `account.move` record."",""Add a `Many2one` field to `tms.trip` to link to the created invoice.""]","[""All acceptance criteria validated and passing."",""Code reviewed and approved."",""Unit tests for the invoice creation method are written and achieve >80% coverage."",""Functionality is verified to be restricted to the correct user roles.""]"
"US-085","Financial Management & Invoicing","System calculates trip profitability using only approved expenses","Dispatch Manager","As a Dispatch Manager or Finance Officer, I want the trip profitability to be calculated using only expenses that have been explicitly approved, so that I can have an accurate and reliable view of a trip's financial performance for making informed business decisions.","Ensures financial accuracy in reporting by preventing unverified or rejected costs from impacting profitability metrics. This builds trust in the system's data and supports accurate analysis.","Must Have","2","[""US-026"",""US-053"",""US-033""]","[{""scenario"":""Profitability calculation with mixed expense statuses"",""given"":""A trip exists with a total revenue of 25,000 INR and has an 'Approved' expense of 8,000 INR, a 'Pending' expense of 500 INR, and a 'Rejected' expense of 200 INR"",""when"":""A user views the trip's details"",""then"":""The system must display 'Total Approved Expenses' as 8,000 INR and 'Trip Profitability' as 17,000 INR.""},{""scenario"":""Profitability calculation when an expense is approved"",""given"":""A trip has a profitability of 17,000 INR and a 'Pending' expense of 500 INR"",""when"":""A Dispatch Manager changes the status of the 'Pending' expense to 'Approved'"",""then"":""The trip's 'Trip Profitability' must be automatically updated to 16,500 INR.""}]","[""Add a computed field to the `tms.trip` model for profitability."",""Implement the calculation logic in Python, ensuring it filters expenses by 'Approved' status."",""Configure the `@api.depends` decorator to correctly trigger recalculation when related expenses change.""]","[""All acceptance criteria validated and passing."",""Unit tests for the computed field logic are implemented, achieving >80% coverage."",""Integration tests confirm that changing an expense status correctly triggers recalculation."",""Role-based access to profitability data is confirmed to be working as specified.""]"
"US-084","Driver Portal","System validates odometer reading for diesel expenses to ensure data integrity","Dispatch Manager","As a Dispatch Manager, I want the system to enforce that a new odometer reading for a diesel expense is always greater than the previous one for that vehicle, so that I can ensure data integrity for accurate fuel efficiency and profitability reporting.","Prevents data entry errors, ensuring the integrity of vehicle mileage data. This is critical for accurate fuel efficiency calculations, maintenance scheduling, and vehicle profitability analysis.","Must Have","2","[""US-053"",""US-006"",""US-027""]","[{""scenario"":""Submitting a valid (higher) odometer reading"",""given"":""The last recorded odometer reading for a vehicle is 50,000 km"",""when"":""A Driver enters a new reading of 50,250 km for a 'Diesel' expense and submits the form"",""then"":""The system validates the reading successfully and the expense is created.""},{""scenario"":""Submitting an invalid (lower) odometer reading"",""given"":""The last recorded odometer reading for a vehicle is 50,000 km"",""when"":""A Driver enters a new reading of 49,950 km and attempts to submit"",""then"":""The system prevents the submission and displays a clear error message: 'Odometer reading must be greater than the last recorded value of 50,000 km.'""},{""scenario"":""First-ever diesel expense for a vehicle"",""given"":""There is no previously recorded odometer reading for a new vehicle"",""when"":""A Driver enters a reading of 150 km"",""then"":""The system accepts the submission without performing the 'greater than' validation.""}]","[""WI-311: Extend the backend for expense submission with odometer validation logic."",""Implement a performant query to fetch the last recorded odometer reading for a vehicle."",""Add a server-side constraint (`@api.constrains`) to the expense model to enforce the rule.""]","[""All acceptance criteria validated and passing."",""Backend validation logic is covered by unit tests with at least 80% coverage."",""The full submission flow is covered by an integration test."",""The database query for the last odometer reading is confirmed to be indexed and performant.""]"
"US-083","Driver Portal","Driver receives clear feedback when uploading an invalid expense receipt file","Driver","As a Driver, I want to receive immediate and clear feedback if my uploaded expense receipt is an invalid format or too large, so that I can quickly correct the issue and successfully submit my expense claim.","Ensures data quality, manages system storage costs, improves system security, and provides a better user experience for drivers by giving instant, actionable feedback.","Must Have","2","[""US-053""]","[{""scenario"":""Uploading a file with an invalid type"",""given"":""A Driver is on the 'Submit Expense' form"",""when"":""The user attempts to upload a file with an unallowed extension (e.g., .docx, .zip)"",""then"":""The system immediately rejects the file and displays an error message: 'Invalid file type. Please upload a JPG, PNG, or PDF.'""},{""scenario"":""Uploading a file that is too large"",""given"":""A Driver is on the 'Submit Expense' form"",""when"":""The user attempts to upload a valid file type (e.g., a JPG) that is 6MB in size"",""then"":""The system immediately rejects the file and displays an error message: 'File is too large. Maximum size is 5MB.'""},{""scenario"":""Server-side validation rejects invalid file types"",""given"":""A user attempts to bypass client-side validation and submits a POST request with a disallowed file type"",""when"":""The server receives the upload request"",""then"":""The server-side logic must validate the file's MIME type, reject the file, and return an appropriate error response.""}]","[""Implement client-side file validation logic in the OWL component for the expense form."",""Implement mandatory server-side validation for file type (MIME) and size in the Odoo controller."",""Add help text to the UI to inform users of the constraints.""]","[""All acceptance criteria validated and passing."",""Unit tests for backend validation logic implemented with >80% coverage."",""Automated E2E tests for UI validation scenarios implemented and passing."",""Mandatory server-side security validation is confirmed to be in place.""]"
